stem	main form	forms	n	"sort (type ""x"" to keep the word for indexation"
primari rural school	rural primary schools	rural primary schools	3	x
africa rural south	rural South Africa	rural South Africa	3	x
drink safe water	safe drinking water	safe drinking water |&| safe water|&|Safe Water	3	x
sale surplu	sale of surplus	sale of surplus	3	x
sanit	sanitation	sanitation|&|Sanitation|&|Sanit	1	x
hygien sanit	sanitation and hygiene	sanitation and hygiene|&|Sanitation and Hygiene|&|sanitation & hygiene|&|hygiene and sanitation	3	x
facil sanit	sanitation facilities	sanitation facilities	2	x
infrastructur sanit	sanitation infrastructure	sanitation infrastructure	2	x
issu sanit	sanitation issues	sanitation issues	2	x
practic sanit	sanitation practices	sanitation practices	2	x
sanit solut	sanitation solution	sanitation solution|&|sanitation solutions	2	x
marcelina santa	Santa Marcelina	Santa Marcelina	2	x
build school	school buildings	school buildings|&|school building|&|building schools	2	x
children school	school children	school children|&|School children|&|school for children|&|children in the schools|&|children from schools|&|children in schools|&|children within the school|&|children in school|&|children in a school|&|schools by the children	2	x
curriculum school	school curriculum	school curriculum|&|School Curriculum	2	x
day school	school day	school day|&|school during the day	2	x
dropout school	school dropout	school dropout|&|school dropouts|&|dropout of school |&| school drop|&|school and drop	2	x
educ school	school education	school education|&|school educators	2	x
fee school	school fees	school fees|&|schools fees	2	x
furnitur school	school furniture	school furniture	2	x
girl school	school girls	school girls|&|girls schools|&|girls in schools|&|girls in school	2	x
graduat rate school	school graduation rate	school graduation rate	3	x
level school	school level	school level|&|school levels	2	x
school student	school students	school students|&|students and schools|&|school student|&|School students|&|students in schools|&|students of the schools|&|school for the students	2	x
school suppli	school supplies	school supplies	2	x
school system	school system	school system|&|school systems|&|School system|&|schooling systems	2	x
school teacher	school teachers	school teachers|&|school teacher|&|Schools and teachers|&|schools teachers|&|teachers and schools|&|schools for teachers|&|teachers in schools	2	x
school train	school training	school training|&|school and train|&|training school	2	x
school work	school work	school work|&|school and work|&|work or school	2	x
countri develop school	schools in developing countries	schools in developing countries	4	x
search water	search of water	search of water|&|search for water	3	x
school secondari	secondary school	secondary school|&|secondary schools	2	x
secur	security	security|&|Security|&|secure	1	x
awar self	self awareness	self awareness	2	x
employ self	self employment	self employment	2	x
relianc self	self reliance	self reliance	2	x
self-confid	self-confidence	Self-confidence |&| self confidence|&|confidents on them self	1	x
self-determin	self-determination	self-determination	1	x
self-efficaci	self-efficacy	self-efficacy	1	x
self-esteem	self-esteem	self-esteem|&|Self-esteem |&| self esteem	1	x
attitud self-report student	self-reported attitudes of students	self-reported attitudes of students	4	x
self-suffici	self-sufficiency	Self-sufficiency |&| self sufficiency	1	x
self-esteem self-worth	self-worth and self-esteem	self-worth and self-esteem|&|self-esteem and self-worth	3	x
campsit perman semi	semi permanent campsites	semi permanent campsites	3	x
empathi sens	sense of empathy	sense of empathy	3	x
pride sens	sense of pride	sense of pride|&|SENSE OF PRIDE	3	x
sensit	sensitization	sensitization|&|sensitivity|&|sensitizes	1	x
sex	sex	sex	1	x
sex trade	sex trade	sex trade	2	x
sex worker	sex workers	sex workers|&|sex worker	2	x
abus sexual	sexual abuse	sexual abuse	2	x
exploit sexual	sexual exploitation	sexual exploitation	2	x
health sexual	sexual health	sexual health|&|health and sexuality	2	x
health reproduct sexual	Sexual reproductive health	Sexual reproductive health|&|Sexual Reproductive Health	3	x
sexual violenc	sexual violence	sexual violence	2	x
life shelf	shelf life	shelf life	2	x
shelter	shelter	shelter|&|shelters	1	x
contain ship	shipping containers	shipping containers	2	x
children sick	sick children	sick children |&| sick child	2	x
sick	sickness	sickness	1	x
languag sign	sign language	sign language|&|Sign Language	2	x
acquisit skill	skill acquisition	skill acquisition|&|skills acquisition|&|Skill Acquisition|&|SKILLS ACQUISITION	2	x
skill train	skill trainings	skill trainings|&|skills training|&|skill training	2	x
labor slave	slave labor	slave labor|&|Slave Labor	2	x
slaveri	slavery	slavery	1	x
area slum	slum areas	slum areas|&|slum area	2	x
dweller slum	slum dwellers	slum dwellers	2	x
activ gener incom small	small income generating activities	small income generating activities	4	x
farmer smallhold	smallholder farmers	smallholder farmers |&| small-scale farmers	2	x
phone smart	smart phones	smart phones|&|smart phone	2	x
sm	SMS	SMS	1	x
snow	snow	snow	1	x
soccer tournament	soccer tournaments	soccer tournaments	2	x
accept social	social acceptance	social acceptance|&|SOCIAL ACCEPTANCE	2	x
barrier social	social barriers	social barriers	2	x
cohes social	social cohesion	social cohesion	2	x
develop social	social development	social development|&|Social Development	2	x
enterpris social	social enterprise	social enterprise|&|social enterprises|&|Social Enterprise|&|Social Enterprises |&| social entrepreneurship	2	x
exclus social	social exclusion	social exclusion	2	x
indic social	social indicators	social indicators	2	x
inequ social	social inequalities	social inequalities|&|social inequity|&|social inequality	2	x
innov social	social innovation	social innovation|&|Social Innovation	2	x
isol social	social isolation	social isolation	2	x
justic social	social justice	social justice	2	x
media social	social media	social media|&|social Medias	2	x
mobil social	social mobilization	social mobilization|&|social mobility	2	x
network social	social networks	social networks|&|social network|&|Social network |&| social networking technology	2	x
invest return social	social return on investment	social return on investment	4	x
risk social	social risk	social risk	2	x
secur social	social security	social security|&|Social Security	2	x
skill social	social skills	social skills	2	x
social vulner	social vulnerability	social vulnerability|&|social vulnerabilities	2	x
entitl social welfar	social welfare entitlements	social welfare entitlements	3	x
social work	social work	social work|&|Social Work	2	x
social worker	social workers	social workers|&|social worker|&|Social workers	2	x
soil	soil	soil|&|soils|&|Soil|&|SOIL	1	x
eros soil	soil erosion	soil erosion|&|soil from erosion	2	x
fertil soil	soil fertility	soil fertility|&|fertile soil|&|SOIL FERTILITY	2	x
nutrient soil	soil nutrients	soil nutrients|&|soil nutrient	2	x
qualiti soil	soil quality	soil quality	2	x
energi solar	solar energy	solar energy|&|Solar energy|&|Solar Energy|&|solar energies	2	x
lamp solar	solar lamps	solar lamps	2	x
cell charger lantern phone solar	solar lantern with cell phone charger	solar lantern with cell phone charger	6	x
lantern solar	solar lanterns	solar lanterns|&|solar lantern	2	x
panel solar	solar panels	solar panels|&|solar panel	2	x
power solar	solar power	solar power	2	x
lantern power solar	solar powered lanterns	solar powered lanterns	3	x
solid wast	solid waste	solid waste	2	x
manag solid wast	solid waste management	solid waste management	3	x
bean soya	soya beans	soya beans	2	x
spoilag	spoilage	spoilage	1	x
start-up	start-ups	start-ups	1	x
stereotyp	stereotypes	stereotypes|&|stereotype	1	x
stigmat	stigmatization	stigmatization|&|STIGMATIZATION	1	x
exchang stock	stock exchanges	stock exchanges|&|stock exchange	2	x
stove	stoves	stoves|&|stove	1	x
children street	street children	street children|&|Street Children|&|STREET CHILDREN|&|children on the street	2	x
abus substanc	substance abuse	substance abuse|&|abuse substances|&|abuse of substances|&|Substance Abuse	2	x
adolesc girl support	support adolescent girls	support adolescent girls|&|Support Adolescent Girls|&|support of adolescent girls|&|supporting adolescent girls	3	x
commun project support	support community projects	support community projects|&|community support for the projects	3	x
orphan support	support orphans	support orphans|&|SUPPORT ORPHANS	2	x
support women	support women	support women|&|support of the women	2	x
surgic treatment	surgical treatment	surgical treatment |&| surgeries|&|surgery	2	x
surplu	surplus	surplus	1	x
survivor	survivors	survivors|&|Survivors|&|survivor	1	x
sustain	sustainability	sustainability|&|Sustainability	1	x
agricultur sustain	sustainable agriculture	sustainable agriculture |&| sustainable agricultural practices	2	x
busi model sustain	sustainable business models	sustainable business models|&|sustainable business model	3	x
busi sustain	sustainable businesses	sustainable businesses|&|sustained businesses|&|sustainable business	2	x
commun sustain	sustainable communities	sustainable communities|&|sustainable community|&|community sustainable	2	x
design sustain	sustainable design	sustainable design|&|design sustainable	2	x
develop sustain	sustainable development	sustainable development|&|Sustainable Development|&|Sustainable development	2	x
energi sustain	SUSTAINABLE ENERGY	SUSTAINABLE ENERGY|&|Sustainable Energy|&|Sustainable energy	2	x
environment manag sustain	sustainable environmental management	sustainable environmental management	3	x
forest manag sustain	sustainable forest management	sustainable forest management	3	x
incom sustain	sustainable income	sustainable income	2	x
job sustain	sustainable jobs	sustainable jobs	2	x
livelihood sustain	sustainable livelihoods	sustainable livelihoods|&|sustainable livelihood|&|livelihood sustainability|&|livelihood & sustainability|&|livelihood sustainable	2	x
product sustain	sustainable production	sustainable production|&|sustainable product	2	x
natur resourc sustain use	sustainable use of natural resources	sustainable use of natural resources	5	x
synergi	synergy	synergy|&|synergies	1	x
tank	tanks	tanks|&|tank|&|Tank|&|Tanks	1	x
prison tb	TB in prisons	TB in prisons	3	x
tb treatment	TB treatment	TB treatment|&|treatment of TB |&| treatment of Tuberculosis	2	x
teacher	teachers	teachers|&|teacher|&|Teachers|&|Teacher	1	x
access technolog	technology access	access technology |&| access technology	2	x
platform technolog	technology platform	technology platform|&|platform technology|&|technology platforms|&|technologies and platforms	2	x
servic technolog	technology services	technology services|&|technological services	2	x
pregnanc teenag	teenage pregnancy	teenage pregnancy|&|teenage pregnancies	2	x
televis	television	television	1	x
educ tertiari	tertiary education	tertiary education	2	x
institut tertiari	tertiary institutions	tertiary institutions	2	x
testimoni	testimonies	testimonies|&|testimonials	1	x
messag text	text messages	text messages|&|text message|&|text messaging	2	x
textil	textile	textile|&|textiles	1	x
theater	theater	theater|&|theaters	1	x
therapi	therapy	therapy|&|Therapy	1	x
session therapi	therapy sessions	therapy sessions	2	x
tourism	tourism	tourism|&|Tourism |&| tourists|&|tourist	1	x
attend birth tradit	traditional birth attendants	traditional birth attendants	3	x
medicin tradit	traditional medicine	traditional medicine	2	x
farmer train	train farmers	train farmers|&|trains farmers|&|train the farmers	2	x
center train	training centers	training centers|&|training Center|&|center trains	2	x
cours train	training courses	training courses	2	x
materi train	training materials	training materials	2	x
program train	training program	training program|&|training programs |&| training programmes|&|training programme	2	x
hiv transmiss	transmission of HIV	transmission of HIV|&|HIV transmission	3	x
campaign organis transnat	transnational campaign organisations	transnational campaign organisations	3	x
account transpar	transparency and accountability	transparency and accountability|&|accountability and transparency	3	x
surgeri transplant	transplant surgery	transplant surgery |&| transplant|&|transplants	2	x
cost transport	transportation costs	transportation costs	2	x
infrastructur transport	transportation infrastructure	transportation infrastructure	2	x
option treatment	treatment options	treatment options|&|treatment option	2	x
nurseri tree	tree nursery	tree nursery|&|Tree Nursery	2	x
seedl tree	tree seedlings	tree seedlings	2	x
speci tree	tree species	tree species	2	x
area tribal	tribal areas	tribal areas	2	x
commun tribal	tribal community	tribal community	2	x
tuberculosi	tuberculosis	tuberculosis|&|Tuberculosis	1	x
malaria tuberculosi	Tuberculosis and Malaria	Tuberculosis and Malaria |&| TB and Malaria	3	x
twitter	Twitter	Twitter|&|twitter	1	x
children underprivileg	underprivileged children	underprivileged children	2	x
commun underprivileg	underprivileged communities	underprivileged communities	2	x
commun underserv	underserved communities	underserved communities	2	x
popul underserv	underserved populations	underserved populations	2	x
unemploy	unemployment	unemployment|&|Unemployment	1	x
problem unemploy	unemployment problem	unemployment problem|&|problem with unemployment	2	x
declar human right univers	Universal Declaration of Human Rights	Universal Declaration of Human Rights	5	x
educ primari univers	universal primary education	universal primary education	3	x
settlement unplan	unplanned settlements	unplanned settlements	2	x
pregnanc unwant	unwanted pregnancies	unwanted pregnancies	2	x
urban	Urban	Urban|&|urbanization	1	x
area urban	urban areas	urban areas|&|Urban areas	2	x
commun urban	urban communities	urban communities|&|Urban Community	2	x
neighborhood urban	urban neighborhoods	urban neighborhoods	2	x
slum urban	urban slums	urban slums	2	x
interfac user	user interface	user interface|&|interface between users	2	x
diseas prevent vaccin	vaccine preventable diseases	vaccine preventable diseases	3	x
refriger system vaccin	vaccine refrigeration systems	vaccine refrigeration systems	3	x
product veget	vegetable production	vegetable production	2	x
veget	vegetables	vegetables|&|vegetable|&|vegetation|&|Vegetable	1	x
victim	victims	victims|&|victim|&|Victims	1	x
sexual victim violenc	victims of sexual violence	victims of sexual violence	4	x
villag women	village women	village women|&|women in a village	2	x
violenc	violence	violence|&|Violence	1	x
violenc women	violence against women	violence against women|&|Violence against women|&|violence against Women	3	x
prevent violenc	violence prevention	violence prevention|&|preventing violence	2	x
crime violent	violent crime	violent crime	2	x
vitamin	vitamin	vitamin|&|vitamins	1	x
commun volunt	volunteer community	volunteer community|&|Volunteer Community	2	x
opportun volunt	volunteer opportunities	volunteer opportunities	2	x
servic volunt	volunteer service	volunteer service	2	x
volunteer	volunteerism	volunteerism|&|Volunteerism	1	x
volunt	volunteers	volunteers|&|volunteer|&|Volunteer|&|Volunteers	1	x
volunt work	volunteers work	volunteers work|&|volunteer work	2	x
vote	vote	vote	1	x
card ident voter	voter identity card	voter identity card	3	x
children vulner	vulnerable children	vulnerable children|&|Vulnerable Children	2	x
commun vulner	vulnerable communities	vulnerable people |&| vulnerable persons |&| vulnerable communities |&| vulnerable groups|&|vulnerable group	2	x
vulner women	vulnerable women	vulnerable women	2	x
wast	waste	waste|&|wastes|&|Waste	1	x
manag wast	waste management	waste management|&|Waste Management	2	x
materi wast	waste materials	waste materials	2	x
separ wast	waste separation	waste separation	2	x
bodi water	water bodies	water bodies	2	x
collect water	water collection	water collection	2	x
conserv water	water conservation	water conservation	2	x
filter water	water filter	water filter|&|water filters	2	x
harvest water	water harvesting	water harvesting|&|harvester for water|&|harvested water	2	x
hyacinth water	water hyacinth	water hyacinth	2	x
manag water	water management	water management	2	x
problem water	water problems	water problems	2	x
product water	water production	water production|&|water for the production	2	x
qualiti water	water quality	water quality|&|quality water|&|quality of water	2	x
resourc water	water resources	water resources	2	x
scarciti water	water scarcity	water scarcity|&|scarcity of water|&|Water scarcity	2	x
shortag water	water shortages	water shortages	2	x
sourc water	water sources	water sources	2	x
storag water	water storage	water storage	2	x
suppli water	water supplies	water supplies	2	x
system water	water systems	water systems|&|water system|&|Water System	2	x
tank water	water tanks	water tanks|&|water tank	2	x
treatment water	water treatment	water treatment |&| water sanitation|&|sanitation and water|&|water and sanitation |&| water purification |&| purifies water|&|water purifier	2	x
weaver	Weavers	Weavers	1	x
web	web	web	1	x
applic web	web application	web application	2	x
site web	web site	web site	2	x
websit	website	website|&|websites|&|Website	1	x
servic welfar	welfare services	welfare services	2	x
widow	widows	widows|&|widow	1	x
econom empower women	Women Economic Empowerment	Women Economic Empowerment|&|economic empowerment of women	3	x
empower women	women empowerment	women empowerment|&|Women Empowerment|&|empowerment of women	2	x
entrepreneur women	women entrepreneurs	women entrepreneurs	2	x
farmer women	women farmers	women farmers|&|farmers women	2	x
group women	women groups	women groups|&|groups of women	2	x
victim women	women victims	women victims|&|women as victims	2	x
fuel wood	wood fuel	wood fuel|&|fuel wood	2	x
ethic work	work ethic	work ethic	2	x
health world	World Health	World Health|&|world health	2	x
health organ world	World Health Organization	World Health Organization	3	x
center youth	youth centers	youth centers|&|youth center	2	x
develop youth	youth development	youth development|&|Youth Development|&|development of the youth	2	x
educ youth	Youth Education	Youth Education|&|education for youth|&|youth through education|&|education of youth	2	x
employ youth	youth employment	youth employment|&|employing youth|&|employable youth|&|employment among the youth	2	x
empower youth	youth empowerment	youth empowerment|&|Youth Empowerment|&|empowerment of youth	2	x
involv youth	youth involvement	youth involvement|&|involvement of youths	2	x
job youth	youth jobs	youth jobs|&|youth in jobs|&|youth job|&|jobs for youth	2	x
commun develop particip youth	youth participation in the community development	youth participation in the community development|&|youth participation in community development	6	x
program youth	youth programs	youth programs	2	x
program radio youth	youth radio program	youth radio program	3	x
unemploy youth	youth unemployment	youth unemployment|&|unemployed youth|&|youths unemployment|&|Youth Unemployment	2	x
violenc youth	youth violence	youth violence	2	x
disabl youth	youth with disabilities	youth with disabilities|&|disabled youth|&|disabilities and youth|&|youth with disability	3	x
