stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
imag media	media images	media images|&|images in the media|&|images via media	2	15,7363937638	107,017386244	186,971174845	9,0	270,0	 
attitud posit	positive attitude	positive attitude|&|positive attitudes	2	37,7673450331	223,084598866	183,706525744	22,0	729,0	 
home use	home use	home use|&|use in the home|&|use home	2	14,1627543874	97,983779825	175,484562386	8,0	202,0	 
bag polythen	polythene bags	polythene bags	2	22,0309512693	167,689904818	210,250964035	4,0	171,0	 
ababa addi	Addis Ababa	Addis Ababa	2	25,1782300221	171,227817991	219,553391295	9,0	292,0	 
commun project	community projects	community projects|&|community project|&|project communities|&|communal projects|&|project community|&|community and project|&|project on a community|&|project from the communities|&|community for projects|&|projects at community|&|projects in the community|&|communities of the project|&|communities that the project|&|project and community|&|community by the project|&|project in the community	2	149,495740756	686,355126944	181,163923757	86,0	3116,0	 
indigen women	indigenous women	indigenous women	2	14,1627543874	107,800653098	186,804005316	4,0	202,0	 
environment protect	environmental protection	environmental protection|&|Environmental Protection|&|Environmental protection	2	77,1083294426	413,321317186	223,413909844	38,0	1183,0	 
foundat research	Research Foundation	Research Foundation|&|Foundation for Research|&|Foundation Research	2	14,1627543874	99,8749521417	182,658537559	7,0	171,0	 
justic juvenil	Juvenile Justice	Juvenile Justice|&|juvenile justice	2	40,9146237858	241,674982105	462,622974642	42,0	1943,0	 
dropout high school	high school dropouts	high school dropouts|&|high school dropout|&|dropout of high school	3	109,214149434	532,249424781	1311,66310949	49,0	2094,0	 
educ ministri	Ministry of Education	Ministry of Education|&|Education Ministry	3	62,9455750551	348,222370132	238,878757517	32,0	1123,0	 
pilot program	pilot program	pilot program|&|pilot programs|&|pilot the program|&|Pilot Program|&|program pilot|&|Program Pilot|&|program for pilot|&|pilot a program	2	212,441315811	889,20921826	173,050606841	130,0	4329,0	 
dropout high rate school	high school dropout rate	high school dropout rate|&|high school dropout rates|&|high rates of school dropout	4	63,5427778527	345,231934296	1358,52010092	28,0	1346,0	 
drip irrig	drip irrigation	drip irrigation	2	34,6200662803	220,141970569	215,191983312	16,0	535,0	 
care cost health	health care costs	health care costs|&|cost of health care|&|health care cost|&|cost health care	3	31,7713889264	190,395737996	508,267967356	16,0	464,0	 
fourth year	fourth year	fourth year	2	14,1627543874	96,3156476199	185,603096526	16,0	547,0	 
corner street	street corners	street corners|&|street corner	2	18,8836725165	126,431270019	190,05291658	10,0	359,0	 
male student	male students	male students|&|male student	2	62,9455750551	350,220810205	809,741069606	56,0	2444,0	 
busi incub	business incubator	business incubator|&|business incubation|&|business incubators|&|Business Incubator|&|incubated businesses	2	73,9610506898	398,423470916	246,328493388	37,0	1229,0	 
educ human right	human rights education	human rights education|&|Human Rights Education|&|human rights through education	3	39,714236158	252,875336633	242,226167477	11,0	380,0	 
educ life skill	life skills education	life skills education|&|education and life skills|&|Life Skills Education|&|Education in Life Skills|&|Life Skills & Education	3	23,8285416948	151,72520198	361,569324668	11,0	412,0	 
work youth	work with youth	work with youth|&|youth work|&|work with each youth|&|work with a youth|&|youth I work|&|youth for work|&|work with these youths|&|work with all youth|&|work that a youth|&|work with both youth|&|youth we work|&|work with the youth|&|work with youths|&|work with the youths	3	64,5192144315	345,840285809	191,588416791	38,0	1488,0	 
program scholarship	scholarship program	scholarship program|&|scholarship programs|&|Scholarship Program|&|programs by scholarship	2	58,224656926	336,479035719	333,725631571	25,0	893,0	 
approach person	personal approach	personal approach|&|personalized approach	2	15,7363937638	105,359391683	172,540792854	10,0	307,0	 
higher incom	higher income	higher income|&|higher incomes	2	26,7518693984	166,537490154	221,18719384	16,0	523,0	 
foundat solid	solid foundation	solid foundation	2	17,3100331402	114,24550848	206,689267607	11,0	414,0	 
assess impact	impact assessment	impact assessment|&|impact assessments|&|Impact Assessment|&|Impact assessment|&|assessment of impact	2	91,27108383	464,189329136	204,366372476	55,0	1936,0	 
after-school program	after-school programs	after-school programs|&|after-school program|&|After-school programs	2	70,813771937	377,741379327	284,99525948	39,0	1558,0	 
student thousand	thousands of students	thousands of students	3	25,1782300221	156,741167204	262,933191052	16,0	482,0	 
art culinari	culinary arts	culinary arts	2	22,0309512693	145,403374429	208,638706357	11,0	338,0	 
complet high school	complete high school	complete high school|&|high school completion|&|completion of high school|&|high school before completion	3	83,3998959317	421,310899237	344,479602364	41,0	1740,0	 
loan small	small loans	small loans|&|small loan	2	40,9146237858	252,223963113	194,658228307	17,0	543,0	 
day next	next day	next day	2	15,7363937638	105,359391683	174,649977156	10,0	254,0	 
opportun time	opportune time	opportune time|&|time and opportunity|&|time opportunity|&|opportunity over time	2	14,1627543874	96,3156476199	191,323959361	9,0	249,0	 
chang situat	change this situation	change this situation|&|change the situation|&|change situation	3	14,1627543874	96,3156476199	175,201751193	9,0	329,0	 
colleg complet rate	college completion rates	college completion rates|&|college completion rate	3	15,8856944632	106,208993326	235,1880886	8,0	339,0	 
new yorker	New Yorkers	New Yorkers|&|New Yorker	2	25,1782300221	163,984492598	199,097939711	12,0	338,0	 
impact littl	little impact	little impact	2	14,1627543874	96,3156476199	170,598151316	9,0	293,0	 
front line	front line	front line|&|front lines	2	23,6045906457	153,73546181	173,916466327	12,0	452,0	 
educ financi	financial education	financial education|&|Financial Education	2	45,635541915	265,589745621	386,25077233	25,0	859,0	 
academ excel	academic excellence	academic excellence|&|Academic Excellence	2	55,0773781733	312,049132875	310,213785214	28,0	1123,0	 
domest violenc	domestic violence	domestic violence|&|Domestic Violence|&|Domestic violence	2	166,805773896	785,220632786	191,66393852	80,0	2917,0	 
current work	current work	current work	2	14,1627543874	96,3156476199	169,188317651	9,0	266,0	 
civic engag	civic engagement	civic engagement|&|Civic Engagement	2	185,689446413	827,164680084	278,815702949	100,0	3786,0	 
articl new time york	New York Times article	New York Times article|&|article in The New York Times|&|article in the New York Times|&|article in New York Times	4	15,8856944632	106,208993326	316,264855523	8,0	252,0	 
elect post violenc	post election violence	post election violence|&|post violence election	3	25,8142535027	164,368968811	186,390627275	11,0	352,0	 
energi servic	energy services	energy services|&|energy service|&|Energy Service	2	29,8991481512	190,122610946	169,060486719	14,0	401,0	 
club sierra	Sierra Club	Sierra Club	2	20,4573118929	131,5999416	305,101398701	13,0	397,0	 
job qualiti	quality jobs	quality jobs|&|quality job|&|job quality|&|quality of the jobs	2	18,8836725165	126,431270019	180,225838079	10,0	396,0	 
languag sign	Sign Language	Sign Language|&|sign language	2	66,0928538079	442,509445068	185,007177604	10,0	243,0	 
respons take	taking responsibility	taking responsibility	2	14,1627543874	97,983779825	174,062348721	8,0	286,0	 
labour market	labour market	labour market	2	17,3100331402	115,895330851	175,475763994	10,0	371,0	 
incom level	income levels	income levels|&|income level|&|level of income|&|levels of income|&|level income	2	77,1083294426	400,284123828	229,564842447	48,0	1599,0	 
chang project	change project	change project|&|change projects|&|project for change	2	18,8836725165	128,420863493	230,055056512	9,0	249,0	 
particip student	student participants	student participants|&|student participation|&|participating students|&|participating student|&|Participating students	2	83,4028869481	427,577679852	317,853173003	48,0	2025,0	 
basi consist	consistent basis	consistent basis	2	17,3100331402	114,24550848	215,691966195	11,0	570,0	 
biodivers loss	biodiversity loss	biodiversity loss|&|loss of biodiversity	2	26,7518693984	170,109704531	276,497441871	14,0	358,0	 
art educ	arts education	arts education|&|art education|&|Arts Education|&|arts educator|&|Arts education|&|arts and education|&|education & arts|&|art and education|&|Arts and Education|&|education through art|&|education through the arts	2	141,627543874	689,828090235	237,935197837	63,0	2175,0	 
entrepreneur other	other entrepreneurs	other entrepreneurs	2	15,7363937638	105,359391683	190,382057154	10,0	261,0	 
corp peac	Peace Corps	Peace Corps	2	45,635541915	263,726811779	206,568955944	41,0	1342,0	 
focu student	students focus	students focus|&|student focus|&|focus on students|&|focus on the students|&|students that focus|&|focus on the student	2	15,7363937638	105,359391683	216,176646174	10,0	387,0	 
chain valu	value chain	value chain|&|value chains|&|Value Chain	2	135,332986369	652,774189981	402,830047568	65,0	2146,0	 
care youth	care youth	care youth|&|youth care|&|youth in care|&|care of the youth	2	18,8836725165	128,420863493	250,84517355	9,0	274,0	 
aa student	AA students	AA students	2	14,1627543874	99,8749521417	320,850750171	7,0	292,0	 
colleg experi	college experience	college experience|&|experience college	2	20,4573118929	131,5999416	215,398129939	13,0	509,0	 
educ legal	legal education	legal education	2	15,7363937638	105,359391683	245,334985443	10,0	295,0	 
mentor servic	mentoring services	mentoring services|&|mentoring service|&|service mentoring	2	40,9146237858	239,856254963	250,596639658	23,0	966,0	 
school secondari	secondary schools	secondary schools|&|secondary school|&|Secondary School|&|Secondary Schools	2	236,045906457	1005,9464048	517,912015216	119,0	4321,0	 
attent more	more attention	more attention	2	15,7363937638	105,359391683	187,493003365	10,0	270,0	 
busi individu	individuals and businesses	individuals and businesses|&|individual businesses|&|businesses and individuals|&|businesses individuals|&|businesses as individuals	3	22,0309512693	141,723014031	203,613436443	13,0	451,0	 
environ school	school environment	school environment|&|school environments|&|school or environment|&|environment at the school	2	40,9146237858	252,223963113	192,402982351	17,0	748,0	 
interview skill	interview skills	interview skills|&|interviewing skills	2	33,046426904	196,736344304	226,922743918	21,0	762,0	 
essenti life skill	essential life skills	essential life skills	3	17,8714062711	121,87151126	249,488130332	7,0	241,0	 
develop issu	development issues	development issues|&|development issue|&|issues and development	2	53,5037387969	303,133443365	198,211857873	28,0	939,0	 
lesson plan	lesson plans	lesson plans|&|lesson plan	2	75,5346900662	402,924137949	199,98535415	39,0	1327,0	 
care medic	medical care	medical care	2	51,9300994205	296,106329231	268,954732618	27,0	850,0	 
manag plan	management plan	management plan|&|management plans|&|plan for management	2	23,6045906457	155,789329746	190,516674483	11,0	456,0	 
data qualit	qualitative data	qualitative data	2	44,0619025386	252,904644547	187,642155411	26,0	910,0	 
network onlin	online network	online network|&|online networks	2	15,7363937638	105,359391683	200,44681147	10,0	325,0	 
histori oral	oral histories	oral histories|&|oral history	2	44,0619025386	286,972862046	240,644235127	12,0	308,0	 
advanc technolog	technological advancements	technological advancements|&|advances in technology|&|technological advancement|&|technology advances	2	15,7363937638	107,017386244	192,206606393	9,0	217,0	 
avail water	water availability	water availability|&|availability of water	2	18,8836725165	126,431270019	175,635233905	10,0	308,0	 
justic organ	justice organizations	justice organizations	2	14,1627543874	97,983779825	263,903761462	12,0	360,0	 
diseas water-born	water-borne diseases	water-borne diseases|&|water-borne disease	2	15,7363937638	108,870866472	184,418657974	8,0	272,0	 
period week	week period	week period|&|week for a period|&|week within a period	2	25,1782300221	160,103251323	176,642801827	14,0	599,0	 
first plan year	first year we plan	first year we plan	4	15,8856944632	106,208993326	366,38785885	8,0	253,0	 
homeless popul	homeless population	homeless population|&|homeless populations	2	31,4727875276	194,018433164	178,967452792	17,0	673,0	 
care qualiti	quality care	quality care|&|quality of care|&|care quality|&|care and quality	2	29,8991481512	184,317511506	213,275065825	18,0	536,0	 
fund trust	trust fund	trust fund|&|Trust Fund	2	17,3100331402	115,895330851	170,962604893	10,0	275,0	 
countri other	other countries	other countries|&|other country	2	169,953052649	743,184547677	193,503606045	111,0	3287,0	 
leader peer	peer leaders	peer leaders|&|leaders in peer	2	25,1782300221	171,227817991	197,570370822	9,0	301,0	 
african american youth	African American youth	African American youth|&|African American youths	3	69,4999132764	372,802429551	339,968069294	30,0	1393,0	 
individu train	train individuals	train individuals|&|training individuals|&|trained individuals	2	25,1782300221	158,366132935	189,263067275	15,0	458,0	 
employ option	employment options	employment options	2	15,7363937638	105,359391683	188,577877253	10,0	303,0	 
kerosen lamp	kerosene lamps	kerosene lamps|&|kerosene lamp	2	22,0309512693	145,403374429	268,003407271	11,0	347,0	 
center pew	Pew Center	Pew Center	2	17,3100331402	115,895330851	173,908624726	13,0	396,0	 
educ public system	public education system	public education system	3	21,8428298869	139,081435148	504,208174929	11,0	423,0	 
live men young	lives of young men	lives of young men|&|lives of these young men|&|young men in the lives|&|young men lives|&|lives of the young men	4	15,8856944632	106,208993326	267,30631917	8,0	415,0	 
background disadvantag	disadvantaged backgrounds	disadvantaged backgrounds	2	15,7363937638	105,359391683	203,859153362	10,0	334,0	 
addit support	additional support	additional support	2	22,0309512693	141,723014031	219,812270799	13,0	436,0	 
impact indic	impact indicators	impact indicators|&|impact indicator|&|indicator of the impact|&|indicators of impact|&|indicator of impact|&|indicators of the impact|&|impact through indicators	2	36,1937056567	215,473139	182,019592072	22,0	735,0	 
food own	own food	own food	2	40,9146237858	236,444727802	193,949276467	25,0	770,0	 
arabl land	arable land	arable land	2	15,7363937638	105,359391683	203,457518645	10,0	288,0	 
health servic	health services	health services|&|Health Services|&|health service|&|Health services	2	121,170231981	572,067460085	369,425146259	108,0	4146,0	 
amount food	amount of food	amount of food	3	15,7363937638	105,359391683	201,577377313	10,0	345,0	 
activ livelihood	livelihood activities	livelihood activities	2	15,7363937638	105,359391683	172,639025351	10,0	447,0	 
interact posit	positive interaction	positive interaction|&|positive interactions	2	17,3100331402	115,895330851	169,003796228	10,0	306,0	 
diseas poverti	poverty and disease	poverty and disease|&|disease and poverty|&|disease or poverty|&|disease of poverty	3	17,3100331402	117,719124869	205,635836975	9,0	404,0	 
popul student	student population	student population|&|student populations|&|population of students|&|students population|&|population students	2	72,3874113134	384,302941621	389,057963543	40,0	1767,0	 
outreach programm	outreach programmes	outreach programmes|&|outreach programme	2	15,7363937638	105,359391683	168,346172488	10,0	303,0	 
peopl thousand	thousands of people	thousands of people|&|thousands people|&|Thousands of people	3	62,9455750551	334,176470975	173,759984971	42,0	1206,0	 
black popul	Black populations	Black populations|&|black population|&|Black population	2	28,3255087748	178,161899552	272,861378796	15,0	562,0	 
citi inner youth	inner city youth	inner city youth	3	41,6999479659	240,589331641	189,660431416	20,0	816,0	 
develop ident	identity development	identity development	2	22,0309512693	149,824340742	287,691106218	9,0	428,0	 
career success	career success	career success|&|successful careers|&|successful career	2	31,4727875276	192,21949855	241,315046281	18,0	1015,0	 
area remot	remote areas	remote areas	2	67,6664931843	362,710543653	211,254140694	38,0	1283,0	 
children right	rights of children	rights of children|&|children rights|&|rights of the children|&|rights for children|&|rights and children	3	23,6045906457	166,45825357	185,539174773	7,0	292,0	 
gener idea	idea generation	idea generation|&|general idea	2	22,0309512693	141,723014031	190,423499588	13,0	374,0	 
graduat high school	graduate high school	graduate high school|&|graduate from high school|&|high school graduation|&|high school graduates|&|High School graduation|&|high school graduate|&|graduate from High School|&|graduation from high school|&|graduate in high school|&|graduates from high school|&|graduation of high school|&|graduates high school	3	389,199514348	1408,03562415	1949,5616525	189,0	7988,0	 
school year	school year	school year|&|school years|&|year school|&|school every year|&|school each year|&|school per year|&|school for a year|&|year of school|&|years of school|&|year at school|&|year in schools|&|school for the year|&|year the school|&|school that year|&|schools each year|&|schools this year	2	236,045906457	976,767836515	861,60453381	163,0	6238,0	 
graduat studi	graduate studies	graduate studies	2	20,4573118929	131,5999416	168,719246052	13,0	504,0	 
achiev junior	Junior Achievement	Junior Achievement	2	22,0309512693	141,723014031	273,085165753	13,0	505,0	 
east region upper	Upper East Region	Upper East Region	3	23,8285416948	175,830176482	169,267908111	4,0	215,0	 
profession skill	professional skills	professional skills|&|skilled professionals	2	45,635541915	263,726811779	203,026715012	25,0	781,0	 
america black	Black America	Black America|&|Black In America	2	25,1782300221	158,366132935	196,062824028	18,0	671,0	 
global problem	global problem	global problem|&|global problems	2	31,4727875276	197,957666168	189,108097794	15,0	403,0	 
face youth	youth face	youth face|&|facing youth|&|face with youth	2	37,7673450331	219,798410169	180,163424747	28,0	1287,0	 
new paradigm	new paradigm	new paradigm|&|new paradigms	2	40,9146237858	238,11494435	192,333697501	24,0	877,0	 
chang social sustain	sustainable social change	sustainable social change	3	13,8999826553	96,9316449778	171,915613894	6,0	217,0	 
grade improv	grade improvement	grade improvement|&|grade improvements|&|improved grades|&|improvement in grades|&|improvement on grades|&|improvement in grade	2	31,4727875276	188,903509427	309,559392027	20,0	785,0	 
blood pressur	blood pressure	blood pressure	2	34,6200662803	204,494215627	192,490447777	33,0	1217,0	 
male young	young males	young males	2	99,1392807119	512,472043348	698,556461297	53,0	2238,0	 
irrig pump	irrigation pumps	irrigation pumps|&|pumps for irrigation	2	20,4573118929	141,532126414	207,523608329	8,0	231,0	 
analysi critic	critical analysis	critical analysis	2	25,1782300221	166,175285062	191,186521741	11,0	470,0	 
labor skill	skilled labor	skilled labor	2	18,8836725165	124,631463796	169,72434734	11,0	433,0	 
center educ nation statist	National Center for Education Statistics	National Center for Education Statistics|&|National Center for Educational Statistics|&|National Center of Education Statistics	5	43,6856597738	247,882278393	230,811362334	22,0	963,0	 
intern travel	international travel	international travel	2	17,3100331402	117,719124869	306,861769793	9,0	299,0	 
equiti invest	equity investments	equity investments|&|equity investment	2	15,7363937638	116,267028652	246,831280185	5,0	130,0	 
access lack	lack access	lack access|&|lack of access|&|Lack of access|&|lacking access	2	264,371415232	1045,43802422	322,188377108	178,0	6193,0	 
popul work	working population	working population|&|population work|&|work with this population|&|work around this population	2	14,1627543874	97,983779825	172,500777109	8,0	245,0	 
girl old year	year old girl	year old girl|&|year old girls	3	13,8999826553	94,7889532019	632,310989194	7,0	216,0	 
access educ	access education	access education|&|education access|&|accessing education|&|accessible education|&|education and access|&|educational access	2	40,9146237858	234,840027079	225,851586412	26,0	943,0	 
environment organ	environmental organizations	environmental organizations	2	18,8836725165	126,431270019	187,700707615	10,0	323,0	 
properti valu	property values	property values|&|property value|&|value of property	2	22,0309512693	141,723014031	176,390537783	13,0	375,0	 
children go school	school going children	school going children	3	17,8714062711	119,485117492	237,481911263	8,0	212,0	 
mentorship support	support and mentorship	support and mentorship|&|mentorship support|&|support for mentorship	3	14,1627543874	96,3156476199	173,43606248	9,0	278,0	 
commun peopl young	young people in the community	young people in the community|&|community of young people|&|young people in the communities|&|young people from these communities|&|young people and communities	5	15,8856944632	106,208993326	168,986798574	8,0	401,0	 
leadership transform	transformational leadership	transformational leadership|&|transformative leadership	2	23,6045906457	153,73546181	191,137832604	12,0	482,0	 
event network	networking events	networking events	2	23,6045906457	150,096798115	173,230521865	14,0	534,0	 
basic life skill	basic life skills	basic life skills	3	15,8856944632	106,208993326	254,56777237	8,0	298,0	 
good grade	good grades	good grades	2	25,1782300221	161,969158892	195,586781282	13,0	408,0	 
counsel session	counseling sessions	counseling sessions|&|Counseling sessions	2	29,8991481512	184,317511506	196,897385011	17,0	532,0	 
group local	local groups	local groups	2	34,6200662803	207,793860369	193,042791944	20,0	568,0	 
man young	young man	young man	2	94,4183625827	474,694202832	512,960117313	53,0	2277,0	 
local solut	local solutions	local solutions	2	15,7363937638	107,017386244	269,769344882	9,0	287,0	 
area metropolitan	metropolitan area	metropolitan area|&|metropolitan areas|&|Metropolitan area	2	50,3564600441	281,827827567	175,854617913	33,0	1357,0	 
colleg scholarship	college scholarship	college scholarship|&|college scholarships|&|college on scholarship|&|college and scholarships|&|college with a scholarship|&|college on scholarships	2	28,3255087748	174,616589847	239,927899165	17,0	647,0	 
commun under-serv	under-served communities	under-served communities	2	15,7363937638	110,972169046	183,065813302	7,0	216,0	 
aid financi	financial aid	financial aid|&|Financial Aid	2	86,5501657008	438,465615575	270,750425539	51,0	1933,0	 
fund ventur	venture funds	venture funds|&|venture fund	2	14,1627543874	99,8749521417	315,758562953	7,0	223,0	 
energi solar	solar energy	solar energy|&|Solar energy|&|Solar Energy	2	110,154756347	579,43435556	223,501865484	42,0	1168,0	 
academ career	academic career	academic career|&|academic careers	2	15,7363937638	107,017386244	299,31530641	9,0	356,0	 
privat school	private schools	private schools|&|private school|&|school private	2	69,2401325607	378,846950295	429,633333978	34,0	1200,0	 
messag spread	spread the message	spread the message|&|spread that message	3	20,4573118929	133,237400236	203,758079209	12,0	389,0	 
educ music	music education	music education	2	44,0619025386	262,315125739	244,786190952	22,0	760,0	 
health resourc	health resources	health resources|&|resources on the health	2	15,7363937638	105,359391683	207,219774799	10,0	348,0	 
school system	school system	school system|&|school systems|&|School system|&|School System	2	185,689446413	829,1506824	564,90211846	136,0	5579,0	 
model program	program model	program model|&|model program|&|program models|&|program as a model|&|model a program	2	66,0928538079	352,558620706	210,803636349	39,0	1607,0	 
organ social	social organizations	social organizations	2	34,6200662803	222,707593477	210,49742435	13,0	414,0	 
busi other	other businesses	other businesses|&|other business	2	31,4727875276	192,21949855	174,177814354	18,0	585,0	 
commun food	community food	community food|&|Community Food|&|food community|&|community and food|&|food for communities|&|communities food|&|communities on food|&|community through food	2	45,635541915	265,589745621	349,023795506	24,0	1006,0	 
motiv student	student motivation	student motivation|&|motivated students|&|motivating students	2	23,6045906457	148,468249626	206,373691942	15,0	512,0	 
substanc use	substance use	substance use	2	20,4573118929	139,122602118	172,64048879	9,0	334,0	 
corpor organ	corporate organizations	corporate organizations	2	14,1627543874	99,8749521417	182,1660945	7,0	265,0	 
area focu	focus areas	focus areas|&|area of focus|&|focus area|&|area focus|&|areas of focus|&|areas we focus|&|area with a focus|&|focus on any areas|&|focus on this area	2	103,860198841	507,56275377	168,540063305	61,0	2131,0	 
report schott	Schott Report	Schott Report	2	18,8836725165	122,988369448	359,974048406	12,0	520,0	 
live skill	living skills	living skills	2	20,4573118929	141,532126414	254,539439297	8,0	292,0	 
activ citizen	active citizens	active citizens	2	14,1627543874	96,3156476199	190,901156704	9,0	408,0	 
month program	month program	month program	2	28,3255087748	174,616589847	222,415197715	17,0	552,0	 
public school student	public school students	public school students|&|Public School students	3	33,7571007343	202,29547162	359,276421059	16,0	615,0	 
advantag take	taking advantage	taking advantage	2	33,046426904	198,348684898	266,542706639	20,0	525,0	 
care program	care programs	care programs|&|care program	2	15,7363937638	105,359391683	213,542418632	10,0	477,0	 
educ foundat public schott	Schott Foundation for Public Education	Schott Foundation for Public Education|&|Schott Foundation on Public Education|&|Schott Foundation Public Education	5	19,857118079	128,330253811	303,63445315	10,0	367,0	 
complet rate	completion rates	completion rates|&|completion rate	2	40,9146237858	234,840027079	207,766192622	40,0	1654,0	 
drink safe water	safe drinking water	safe drinking water	3	91,3427431633	489,96890741	307,456383974	30,0	1109,0	 
current gener	current generation	current generation|&|current generations	2	15,7363937638	107,017386244	179,423861921	12,0	407,0	 
drug use	drug use	drug use|&|use drugs|&|using drugs|&|use of drugs	2	77,1083294426	407,462170838	212,047249848	41,0	1528,0	 
comput train	computer training	computer training	2	14,1627543874	99,8749521417	195,474421138	7,0	236,0	 
agricultur practic	agricultural practices	agricultural practices|&|agriculture practices	2	18,8836725165	124,631463796	228,007088209	14,0	587,0	 
standard test	standardized tests	standardized tests|&|standardized test	2	58,224656926	318,575844566	314,63361514	34,0	1340,0	 
educ tour	educational tours	educational tours|&|educational tour|&|tour educational	2	17,3100331402	114,24550848	197,423182488	11,0	415,0	 
admiss gain	gain admission	gain admission|&|gaining admission	2	18,8836725165	128,420863493	179,181577832	9,0	311,0	 
commun develop	community development	community development|&|Community Development|&|developing communities|&|Community development|&|COMMUNITY DEVELOPMENT|&|community developments|&|development of the communities|&|communication development|&|development community|&|communication and development|&|development in the community|&|development of a community|&|development of the community|&|DEVELOPMENT COMMUNITY|&|development by the community|&|community and development|&|development and communication|&|development of communities	2	464,223616032	1634,71271959	396,123103862	278,0	9695,0	 
aspect other	other aspects	other aspects|&|other aspect	2	29,8991481512	180,991959763	201,808211045	19,0	575,0	 
fish pond	fish ponds	fish ponds|&|fish pond	2	15,7363937638	110,972169046	310,122544106	7,0	145,0	 
project sentenc	Sentencing Project	Sentencing Project	2	14,1627543874	96,3156476199	183,374643286	9,0	383,0	 
peopl rural	rural people	rural people	2	86,5501657008	449,298506338	340,494984264	45,0	1460,0	 
certif school	school certificate	school certificate|&|School Certificate	2	15,7363937638	105,359391683	326,951261125	10,0	375,0	 
debt student	student debt	student debt	2	23,6045906457	153,73546181	215,929554879	12,0	348,0	 
bake good	baked goods	baked goods	2	14,1627543874	107,800653098	211,048491542	4,0	111,0	 
member servic	service members	service members	2	15,7363937638	113,397944843	178,455528685	6,0	189,0	 
pilot project	pilot project	pilot project|&|pilot projects|&|Pilot Project|&|pilot the project|&|pilot this project|&|project as a pilot|&|pilot of the project	2	214,014955188	913,943680204	203,009675979	113,0	3735,0	 
agenc energi intern	International Energy Agency	International Energy Agency	3	15,8856944632	106,208993326	180,82681446	8,0	249,0	 
dispos wast	waste disposal	waste disposal	2	15,7363937638	107,017386244	252,930423357	9,0	251,0	 
art visual	visual arts	visual arts|&|visual art	2	66,0928538079	354,275414731	172,432708611	38,0	1295,0	 
adult youth	youth and adults	youth and adults|&|adults and youth|&|youth & adults|&|Youth and Adults|&|youth or adults|&|adults & youths|&|youth but adults|&|adults and youths|&|youths and adults|&|Youth & Adults	3	53,5037387969	297,687688674	182,714122565	31,0	1061,0	 
busi plan	business plan	business plan|&|business plans|&|Business Plan|&|business planning|&|Business Plans|&|Business plan	2	421,735352869	1499,4532802	339,186255478	256,0	8135,0	 
food retail	food retail	food retail	2	14,1627543874	111,875023631	248,299759812	3,0	118,0	 
other youth	other youth	other youth|&|other youths|&|youth and others|&|others youth	2	73,9610506898	389,04878159	171,401527596	42,0	1444,0	 
led youth	youth led	youth led	2	22,0309512693	145,403374429	168,74497304	11,0	409,0	 
new zealand	New Zealand	New Zealand	2	15,7363937638	105,359391683	210,66595529	10,0	285,0	 
bank food	food banks	food banks|&|Food Bank|&|food bank	2	92,8447232063	510,771009814	199,951113745	33,0	1089,0	 
uniqu way	unique way	unique way	2	18,8836725165	124,631463796	182,480844675	11,0	305,0	 
develop program workforc	workforce development program	workforce development program|&|workforce development programs	3	27,7999653106	174,593822381	396,053521298	12,0	429,0	 
develop profession program	professional development programs	professional development programs|&|professional development program|&|professional development in the program	3	23,8285416948	153,996304573	318,033746729	10,0	409,0	 
diseas transmit	transmitted diseases	transmitted diseases|&|diseases transmitted	2	18,8836725165	124,631463796	174,379878657	11,0	562,0	 
system transport	transportation system	transportation system|&|transport systems|&|transport system	2	26,7518693984	172,092231323	183,073437435	13,0	306,0	 
highest poverti rate	highest poverty rate	highest poverty rate|&|highest poverty rates|&|highest rate of poverty	3	21,8428298869	139,081435148	461,58188779	11,0	377,0	 
poor women	poor women	poor women	2	40,9146237858	247,673208097	215,21750731	19,0	601,0	 
program reentri	reentry programs	reentry programs|&|reentry program	2	22,0309512693	147,503148356	174,083792686	10,0	556,0	 
issu right	rights issues	rights issues|&|rights issue|&|right issues	2	18,8836725165	122,988369448	259,530806385	23,0	945,0	 
econom right	economic rights	economic rights|&|Economic Rights	2	17,3100331402	124,737739327	198,771181969	6,0	243,0	 
citi youth	city youth	city youth|&|City youth|&|youth across the city	2	15,7363937638	105,359391683	201,494408397	28,0	1088,0	 
gener new	new generation	new generation|&|new generations|&|New Generation	2	83,4028869481	425,857971773	192,280467316	52,0	1558,0	 
child girl	girl child	girl child|&|Girl Child|&|Girl child	2	84,9765263245	491,077511589	194,274891603	26,0	1119,0	 
coral reef	coral reefs	coral reefs	2	18,8836725165	139,520434383	191,53219575	5,0	112,0	 
busi commun	business community	business community|&|community business|&|community businesses|&|businesses and communities|&|business and community|&|community and business|&|community & business|&|community and businesses|&|businesses within the community|&|businesses in communities|&|business with community	2	66,0928538079	352,558620706	219,135524673	39,0	1328,0	 
commun member	community members	community members|&|Community members|&|members of the community|&|community member|&|member of the community|&|communities members|&|members of the communities|&|members from the community|&|members or community|&|member in this community|&|members in the communities|&|members in The Community|&|members & community|&|members of a community|&|members and communities|&|members of communities	2	739,610506898	2326,55709436	250,543902024	371,0	13370,0	 
entrepreneuri spirit	entrepreneurial spirit	entrepreneurial spirit	2	28,3255087748	172,997548695	181,11262477	18,0	508,0	 
