stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
histori	history	history|&|History|&|histories	1	489,477960647	1369,25914567	334,281230932	432,0	62934,0	 
biodivers	biodiversity	biodiversity|&|Biodiversity	1	116,164140762	530,29495225	308,126501524	81,0	11964,0	 
chang way	change the way	change the way|&|changes the way|&|ways change|&|change in the way|&|change those ways|&|changes in the way|&|change the ways|&|change and ways|&|way that change	3	77,1083294426	337,458558707	211,308941807	48,0	6150,0	 
activ econom	economic activities	economic activities|&|economic activity	2	72,3874113134	328,208181842	196,023922863	41,0	5886,0	 
network profession	professional networks	professional networks|&|professional network|&|network professionals|&|network of professionals|&|professionals network	2	37,7673450331	196,507279578	193,929060542	21,0	2776,0	 
male	males	males|&|Males	1	383,242378924	1215,20375023	3565,53620519	753,0	107849,0	 
support youth	support youth	support youth|&|support the youth|&|youth support|&|support as youth|&|support of youth|&|support for the youth|&|youth with the support	2	45,635541915	229,48958485	160,204914617	25,0	3462,0	 
career goal	career goals	career goals	2	53,5037387969	254,202418734	497,100382193	33,0	4574,0	 
grade student	grade students	grade students|&|student grades|&|students grades|&|grade student|&|students in grades|&|grades student|&|student grade|&|grades of students|&|students between grade|&|students in these grades	2	67,6664931843	308,474162919	371,571075127	49,0	7384,0	 
health mental	mental health	mental health|&|Mental Health|&|Mental health	2	237,619545833	853,924394878	309,998234564	106,0	16221,0	 
challeng	challenges	challenges|&|challenge|&|Challenge|&|Challenges	1	1290,71267513	2319,96900554	168,658807191	1258,0	173597,0	 
black male young	young black males	young black males|&|young Black males|&|Young black males|&|Young Black Males	3	397,14236158	1285,11800676	1373,3891644	119,0	16675,0	 
accept	acceptance	acceptance|&|acceptances	1	103,257014011	431,158322011	165,79465016	128,0	18395,0	 
farm product	farm products	farm products|&|farm production|&|farm productivity|&|farm & production|&|production on each farm	2	51,9300994205	261,143320691	177,055603324	25,0	3800,0	 
skill soft	soft skills	soft skills|&|soft skill	2	51,9300994205	255,258150796	172,239490527	28,0	3712,0	 
attain	attainment	attainment	1	62,5499219488	290,715796199	312,370043385	98,0	14889,0	 
old year	year old	year old|&|year olds|&|years old	2	143,20118325	538,291277921	147,391127806	95,0	13231,0	 
incom	income	income|&|incomes|&|Income|&|INCOME	1	1159,65569581	2346,64637121	1165,1416157	1348,0	180522,0	 
pond	ponds	ponds|&|pond|&|Pond	1	54,6070747172	301,984196511	155,658876249	29,0	3787,0	 
fertil	fertilizer	fertilizer|&|fertilizers|&|fertility|&|fertilization	1	167,792647767	697,062082244	492,371527328	130,0	18141,0	 
dress	dress	dress|&|Dress|&|dresses	1	44,6785156777	223,151819045	174,112672558	51,0	6655,0	 
children women	women and children	women and children|&|children and women|&|women & children|&|Women and Children|&|women with children|&|children women|&|Women & Children|&|children a women|&|children of the women	3	162,084855767	612,958648439	456,67105512	87,0	12819,0	 
mainstream	mainstream	mainstream|&|Mainstream	1	153,892665112	588,698144725	149,144283711	181,0	25187,0	 
poverti reduct	poverty reduction	poverty reduction|&|Poverty Reduction|&|reduction of poverty|&|reduction in poverty	2	103,860198841	444,244416999	224,744590265	53,0	8627,0	 
cso	CSOs	CSOs|&|CSO	1	45,6713715817	252,568600718	128,315313907	24,0	3562,0	 
cours	course	course|&|courses|&|Courses|&|Course	1	988,884480333	2137,37288944	395,725643073	823,0	114077,0	 
court	court	court|&|Court|&|courts|&|Courts	1	179,706918615	698,682851641	260,00827247	159,0	23433,0	 
goal	goals	goals|&|Goals|&|GOALS|&|GOAL	1	812,15612943	1827,2254706	438,792332459	974,0	137004,0	 
secur	security	security|&|Security|&|secure|&|secures|&|securities	1	269,06394997	889,392495565	627,908654548	417,0	59309,0	 
coverag media	media coverage	media coverage|&|coverage in media	2	48,7828206677	234,822712915	262,751434163	31,0	4033,0	 
comfort	comfort	comfort	1	48,6499392935	238,458692862	124,938639474	57,0	7314,0	 
csa	CSA	CSA|&|CSAs	1	34,7499566382	188,078806034	249,331169674	27,0	3697,0	 
american	American	American|&|Americans	1	695,991988668	1712,23807004	982,695883067	1006,0	138643,0	 
goat	goat	goat|&|goats|&|Goat	1	56,5927865251	302,255707933	136,538506626	29,0	4051,0	 
csr	CSR	CSR	1	58,578498333	305,292142172	250,109470463	34,0	4313,0	 
plant	plant	plant|&|plants|&|Plant|&|Plants	1	425,935182794	1359,04436393	775,368748076	302,0	39904,0	 
resourc	resources	resources|&|resource|&|Resource|&|Resources|&|RESOURCES|&|RESOURCE|&|resourcefulness	1	2173,36157374	3025,9710086	322,475036839	2094,0	280079,0	 
faculti	faculty	faculty|&|Faculty	1	92,3355990673	413,116566867	294,439865357	89,0	12648,0	 
care provid	care providers	care providers|&|care provider	2	33,046426904	177,037998804	277,741103247	25,0	3206,0	 
men young	young men	young men|&|Young Men|&|Young men	2	890,67988703	2389,78516983	2238,70013375	291,0	43054,0	 
entrepreneurship	entrepreneurship	entrepreneurship|&|Entrepreneurship|&|ENTREPRENEURSHIP	1	677,127726493	1744,92894811	1018,36209619	608,0	82686,0	 
reflect	reflection	reflection|&|reflections|&|Reflection|&|Reflections	1	121,128420282	492,240761335	186,659593981	109,0	16193,0	 
center nation	National Center	National Center	2	50,3564600441	242,397639138	505,550404793	52,0	7410,0	 
impact litig	impact litigation	impact litigation	2	33,046426904	185,343042688	187,303282867	14,0	1789,0	 
impact long term	long term impact	long term impact|&|impact over the long term	3	47,6570833896	232,544738336	204,292116485	23,0	3043,0	 
stabil	stability	stability|&|stabilization|&|Stability|&|Stabilization	1	108,22129353	454,239816967	140,740460964	133,0	18959,0	 
card credit	credit card	credit card|&|credit cards	2	34,6200662803	180,131672946	165,567248819	26,0	3693,0	 
k-12	K-12	K-12|&|k-12	1	66,5213455646	312,706879032	322,183521809	73,0	10148,0	 
sustain way	sustainable way	sustainable way|&|sustainable ways	2	56,6510175496	267,46430145	222,529457011	34,0	4247,0	 
comput skill	computer skills	computer skills	2	40,9146237858	207,419499517	138,570191927	31,0	4361,0	 
caus	cause	cause|&|causes|&|Cause|&|Causes|&|CAUSE	1	724,784809883	1767,81326406	182,962729968	745,0	101562,0	 
microloan	microloans	microloans|&|microloan|&|Microloans	1	43,6856597738	233,320195597	221,463939416	29,0	3894,0	 
period year	year period	year period|&|years period|&|period of a year	2	157,363937638	584,610666623	669,72533714	93,0	12966,0	 
egg	eggs	eggs|&|egg	1	40,7070920619	218,840466029	133,506644781	28,0	4187,0	 
current statu	current status	current status	2	45,635541915	222,716357485	213,236518642	29,0	3632,0	 
partner school	partner schools	partner schools|&|partner school|&|partner with schools|&|partner with the school|&|partner with a school|&|schools that partner|&|school we partner	2	61,3719356788	295,422122699	266,691856585	31,0	4308,0	 
infant	infant	infant|&|infants|&|Infants	1	113,18557305	540,614786639	200,017210499	87,0	13280,0	 
constitu	constituency	constituency|&|constituents|&|constituencies|&|constituent|&|Constituency	1	162,828368248	627,891116614	130,847378104	128,0	17770,0	 
chang cultur	change the culture	change the culture|&|cultural change|&|change culture|&|change in the culture|&|change cultural|&|change in this culture|&|culture change	3	37,7673450331	193,071517042	183,107971233	23,0	3268,0	 
mission	mission	mission|&|Mission|&|missions|&|Missions|&|MISSION	1	773,434749176	1738,89703271	135,473670539	713,0	98840,0	 
trade	trade	trade|&|Trade|&|trades|&|TRADE	1	342,535286862	1108,41428083	325,129921709	322,0	44452,0	 
scientist	scientists	scientists|&|scientist|&|Scientists	1	120,135564378	501,636124647	189,914526851	97,0	13365,0	 
adult literaci	adult literacy	adult literacy|&|Adult Literacy|&|Adult literacy	2	62,9455750551	314,06858807	177,688214145	26,0	4054,0	 
harvest post	post harvest	post harvest	2	55,0773781733	295,06333134	160,793160566	18,0	2789,0	 
usda	USDA	USDA	1	58,578498333	283,343162569	238,936898105	48,0	6798,0	 
age peopl	people aged	people aged|&|people ages|&|people of all ages|&|people under the age|&|age people|&|people below the age|&|people between the ages|&|people age|&|people from all ages|&|age that a people	2	69,2401325607	317,400989042	163,030046205	39,0	5698,0	 
manag project	project management	project management|&|project manager|&|project managers|&|Project Manager|&|Project Management|&|Management Project|&|management project|&|management for the project	2	177,821249531	658,70820361	399,032922822	94,0	13375,0	 
relianc self	self reliance	self reliance	2	37,7673450331	194,750342096	177,131002189	22,0	2711,0	 
alli	allies	allies|&|Allies	1	50,6356511014	254,155721433	149,284519661	40,0	6313,0	 
area rural	rural areas	rural areas|&|rural area	2	670,370374337	1662,05035351	945,644923238	331,0	44871,0	 
educ tool	educational tools	educational tools|&|educational tool|&|education tool|&|tool for education	2	36,1937056567	185,026870499	187,990104696	23,0	2914,0	 
illiteraci	illiteracy	illiteracy|&|Illiteracy|&|ILLITERACY	1	139,992682457	558,526633959	272,425237833	135,0	18715,0	 
modern technolog	modern technology	modern technology|&|modern technologies	2	39,3409844095	206,614535982	129,001540041	20,0	2893,0	 
parent student	parents and students	parents and students|&|students and parents|&|Students and parents|&|Parents of these students|&|parent and student|&|Parents and students|&|parents nor students|&|parent of student|&|student and parent|&|parents or students|&|parents of all students|&|parents of the students|&|parent student	3	58,224656926	278,423713186	364,787945275	32,0	4714,0	 
lack resourc	lack of resources	lack of resources|&|lack resources|&|lack the resources|&|lack of the resources|&|resources and lack	3	80,2556081953	346,366911535	218,499950614	51,0	6919,0	 
good	goods	goods|&|Goods	1	211,478307541	773,656877337	400,613234053	199,0	27193,0	 
return	return	return|&|returns|&|Return|&|Returns	1	449,763724489	1240,24182471	142,877046927	443,0	61682,0	 
pollut water	water pollution	water pollution	2	33,046426904	177,037998804	260,171822613	18,0	2314,0	 
knowledg share	share knowledge	share knowledge|&|sharing knowledge|&|knowledge sharing|&|shared knowledge|&|knowledge share|&|share this knowledge|&|share the knowledge	2	59,7982963024	282,323429309	233,10251561	34,0	4831,0	 
pollut	pollution	pollution|&|pollutants|&|Pollution|&|pollutes|&|polluters	1	195,592613078	733,933174705	947,65088116	198,0	25268,0	 
energi use	energy use	energy use|&|use energy|&|energy through the use	2	56,6510175496	280,52370128	363,382712154	30,0	4202,0	 
ukrain	Ukraine	Ukraine	1	36,7356684461	231,812651031	132,539985285	11,0	1308,0	 
framework	framework	framework|&|frameworks|&|Framework	1	278,99250901	909,918999741	200,337941559	259,0	37208,0	 
charter school	charter schools	charter schools|&|charter school|&|Charter School|&|Charter Schools	2	158,937577014	633,357143063	466,7541605	71,0	9761,0	 
inform system	information system	information system|&|information systems|&|Information System|&|Information Systems	2	51,9300994205	257,146726173	223,894183954	31,0	4416,0	 
yr	yrs	yrs|&|yr	1	100,278446299	436,359105473	127,363231177	84,0	11249,0	 
critic skill think	critical thinking skills	critical thinking skills	3	61,5570660448	286,101259751	213,861250894	29,0	4122,0	 
design servic	design services	design services|&|service design|&|design service	2	36,1937056567	198,161765118	158,308784125	16,0	2221,0	 
agro	agro	agro|&|Agro	1	42,6928038698	219,988986843	223,203413991	40,0	5324,0	 
baselin data	baseline data	baseline data	2	45,635541915	224,317768881	123,948196998	28,0	4105,0	 
law student	law students	law students|&|law student|&|student of law	2	39,3409844095	208,632464676	131,889455443	19,0	2631,0	 
pregnanc	pregnancy	pregnancy|&|pregnancies|&|Pregnancy	1	155,87837692	627,574472123	371,995495616	184,0	26495,0	 
educ sector	education sector	education sector|&|educational sector|&|sector education	2	51,9300994205	257,146726173	311,498526805	27,0	3552,0	 
achiev	achievement	achievement|&|achievements|&|Achievement|&|achievers|&|Achievers|&|Achievements	1	403,099497003	1151,24445693	1740,95205758	610,0	88247,0	 
namibia	Namibia	Namibia	1	32,7642448303	201,278422963	135,339305398	13,0	1638,0	 
principl	principles	principles|&|principle|&|Principles	1	313,742465648	972,197407189	143,078971184	313,0	43442,0	 
account bank	bank accounts	bank accounts|&|bank account|&|account with the bank	2	61,3719356788	293,473643628	165,078048141	32,0	4392,0	 
intervent	intervention	intervention|&|interventions|&|Intervention|&|Interventions	1	702,941979996	1783,00021651	324,679999814	523,0	77501,0	 
friendship	friendship	friendship|&|friendships|&|Friendship	1	45,6713715817	234,050453102	143,043594007	36,0	5044,0	 
weight	weight	weight|&|Weight	1	89,3570313554	395,987225201	178,092757214	87,0	10913,0	 
fish	fish	fish|&|Fish|&|FISH	1	214,456875253	832,064716023	293,345280078	139,0	18984,0	 
center commun	community centers	community centers|&|community center|&|Community Center|&|Community Centers|&|community at the center|&|Center Community|&|center in the community|&|center as a community	2	209,294037058	742,39572103	487,490794448	118,0	16434,0	 
educ skill	skills education	skills education|&|education skills|&|skill education|&|education and skills|&|skill and education|&|skills and education|&|education skill|&|education and skill|&|education or skills	2	33,046426904	175,251270328	159,980584254	24,0	3358,0	 
project servic	service projects	service projects|&|service project|&|service and project	2	97,5656413355	433,285122611	591,913230919	82,0	11538,0	 
linkag	linkages	linkages|&|linkage|&|Linkages	1	105,242725819	452,697808407	199,068097437	91,0	14263,0	 
full time	full time	full time	2	64,5192144315	292,533379468	125,809051809	46,0	6344,0	 
expect	expectations	expectations|&|expectancy|&|expectation|&|Expectations	1	200,556892598	712,958046338	285,558993888	233,0	34701,0	 
energi	energy	energy|&|Energy|&|energies|&|ENERGY	1	845,913230165	2129,8978156	1254,05218506	680,0	89021,0	 
reduct	reduction	reduction|&|reductions|&|Reduction|&|REDUCTION	1	394,163793868	1150,25792421	412,934871376	466,0	63473,0	 
counterpart white	white counterparts	white counterparts|&|White counterparts	2	53,5037387969	255,848817522	256,569919997	32,0	4927,0	 
architectur	architecture	architecture|&|Architecture	1	83,3998959317	396,728271184	163,741425913	54,0	8356,0	 
safeti	safety	safety|&|Safety	1	230,342569716	809,706307619	134,937905409	221,0	32932,0	 
growth person	personal growth	personal growth	2	81,8292475717	363,400425415	347,446155407	45,0	6055,0	 
skill transfer	transferable skills	transferable skills|&|skills transfer|&|transfer skills|&|skills that transfer|&|transfer the skills	2	36,1937056567	186,635744509	134,390094204	22,0	2886,0	 
local market	local market	local market|&|local markets	2	59,7982963024	282,323429309	249,554091579	34,0	4601,0	 
research	research	research|&|Research|&|researchers|&|researcher|&|Researchers|&|RESEARCH	1	1685,86932491	2671,27777579	263,203499006	1600,0	213007,0	 
health	health	health|&|Health|&|HEALTH	1	1530,98380389	2767,18080631	650,116291076	1785,0	242660,0	 
children parent	parents and children	parents and children|&|children and parents|&|parents of children|&|parents of the children|&|parent children|&|parent and children|&|children of parents|&|parents children	3	39,3409844095	199,441826458	350,554432608	24,0	2833,0	 
fund project	fund projects	fund projects|&|funded projects|&|project funds|&|fund the project|&|project funding|&|projects we fund|&|fund these projects|&|funding project|&|fund this project|&|funds for the project|&|funds into the project	2	44,0619025386	218,185100995	186,243912461	27,0	3670,0	 
limit resourc	limited resources	limited resources	2	91,27108383	385,371243339	158,189201918	56,0	7460,0	 
textil	textile	textile|&|textiles|&|Textile|&|Textiles	1	89,3570313554	437,985354236	296,020841347	46,0	5807,0	 
assist	assistance	assistance|&|Assistance|&|assistant|&|Assist|&|Assistant|&|assistants|&|assistive|&|Assistive|&|ASSISTANCE	1	630,463499008	1570,84851773	245,507719608	663,0	94159,0	 
privat school	private schools	private schools|&|private school|&|school private	2	62,9455750551	302,997048922	180,636819611	31,0	4248,0	 
awar environment	environmental awareness	environmental awareness|&|Environmental Awareness	2	56,6510175496	267,46430145	308,611148428	34,0	4178,0	 
advanc	advance	advance|&|advancement|&|advances|&|Advancement|&|Advance|&|advancements	1	355,442413614	1064,35473312	124,621672001	321,0	45453,0	 
friday	Friday	Friday|&|Fridays	1	52,6213629093	254,528603663	219,743567665	52,0	7851,0	 
farmer small	small farmers	small farmers	2	105,433838217	507,520056945	235,845906075	31,0	4655,0	 
afterschool program	afterschool program	afterschool program|&|afterschool programs	2	108,58111697	468,614056782	284,12874406	51,0	7341,0	 
lobbi	lobby	lobby|&|lobbies	1	33,7571007343	179,148460321	186,652772832	35,0	4386,0	 
lifestyl	lifestyle	lifestyle|&|lifestyles|&|Lifestyle	1	273,035373586	922,943437234	144,174923882	254,0	35719,0	 
peopl rural	rural people	rural people	2	83,4028869481	374,180588381	245,015218157	43,0	5846,0	 
colleg degre	college degree	college degree|&|college degrees|&|degree college	2	110,154756347	467,088048802	479,747971078	55,0	7453,0	 
develop rural	rural development	rural development|&|Rural Development	2	59,7982963024	280,590023989	210,993613603	35,0	5312,0	 
greenhous	greenhouse	greenhouse|&|greenhouses|&|Greenhouse	1	68,5070573725	343,857740762	421,249949865	100,0	13150,0	 
guest	guest	guest|&|guests|&|Guest|&|Guests	1	133,042691129	575,563533201	246,656920525	137,0	20948,0	 
few program	few programs	few programs|&|Few programs	2	34,6200662803	178,521146922	125,200710411	22,0	3086,0	 
launch	launch	launch|&|Launch	1	57,585642429	269,663870156	153,076119927	56,0	7430,0	 
local resourc	local resources	local resources	2	48,7828206677	239,787959838	130,905118854	28,0	3656,0	 
educ youth	youth education	youth education|&|Youth education|&|educated youth|&|Youth Education|&|education and youth|&|Youth & Education|&|education that youth|&|youth without education|&|youth vs. education|&|education the youth|&|education of youth	2	51,9300994205	251,67534412	138,444767455	30,0	3787,0	 
busi new	new business	new business|&|new businesses	2	73,9610506898	330,120192849	292,648082547	44,0	5483,0	 
struggl	struggle	struggle|&|struggles	1	325,656736495	1000,87138135	127,642480348	289,0	40357,0	 
diaspora	Diaspora	Diaspora|&|diaspora	1	105,242725819	485,572971738	196,548747122	72,0	9894,0	 
current event	current events	current events	2	36,1937056567	186,635744509	203,723352688	22,0	3542,0	 
learn process	learning process	learning process	2	45,635541915	224,317768881	213,323900287	28,0	4073,0	 
awar increas	increase awareness	increase awareness|&|increased awareness|&|increasing awareness|&|increases awareness|&|increase in awareness|&|awareness increases|&|increases the awareness|&|awareness and increase|&|increase the awareness	2	108,58111697	437,377216023	281,43673203	68,0	9946,0	 
lifetim	lifetime	lifetime|&|lifetimes|&|Lifetime	1	136,021258841	518,287727877	152,734883384	134,0	18988,0	 
assign	assignments	assignments|&|assignment	1	86,3784636436	381,596205053	214,272977005	81,0	13560,0	 
men women young	young men and women	young men and women|&|young men & women|&|young women and men	4	35,7428125422	187,379816783	269,796522917	16,0	1867,0	 
cadr	cadre	cadre	1	36,7356684461	189,292849144	178,439167396	39,0	5230,0	 
exchang program	exchange programs	exchange programs|&|exchange program|&|Exchange Program|&|program exchange	2	61,3719356788	301,668723668	124,355203216	28,0	3959,0	 
feel	feelings	feelings|&|feel	1	79,4284723159	351,988644623	177,698355413	72,0	9799,0	 
exchang	exchange	exchange|&|Exchange|&|exchanges|&|EXCHANGE	1	366,363828557	1124,67419273	267,265719693	356,0	47631,0	 
number	numbers	numbers|&|Numbers	1	397,14236158	1120,76724975	154,88335056	470,0	62771,0	 
black man	Black Man	Black Man|&|Black man|&|black man	2	66,0928538079	306,45304594	358,347581333	37,0	4755,0	 
construct	construction	construction|&|Construction|&|constructions	1	339,556719151	1097,3521758	318,57556684	264,0	35586,0	 
colombia	Colombia	Colombia	1	81,4141841238	414,989707792	126,590301319	37,0	4411,0	 
assist public	public assistance	public assistance	2	33,046426904	173,556210224	253,464567994	20,0	2734,0	 
philanthropi	philanthropy	philanthropy|&|Philanthropy	1	100,278446299	438,963886892	266,236305517	80,0	10229,0	 
class middl	middle class	middle class	2	103,860198841	440,397303157	325,956447286	55,0	7144,0	 
script	script	script|&|scripts	1	46,6642274856	243,19882512	136,90382076	33,0	4239,0	 
health inform	health information	health information|&|information about health|&|information & health|&|information on health|&|information from health	2	67,6664931843	327,940599914	212,002058194	30,0	4409,0	 
interact	interaction	interaction|&|interactions|&|Interactive|&|InterAction	1	390,192370252	1116,63090329	195,460700428	369,0	52101,0	 
gpa	GPA	GPA|&|GPAs|&|gpa	1	66,5213455646	306,918765155	512,693443027	60,0	8981,0	 
skill train	skills training	skills training|&|skills trainings|&|skill trainings|&|skill training|&|training skills	2	61,3719356788	289,752993238	173,07967049	41,0	6070,0	 
paint	paint	paint|&|paintings|&|paints|&|Paint	1	41,6999479659	211,443639475	137,472193621	38,0	5224,0	 
stori	stories	stories|&|story|&|Story|&|Stories	1	724,784809883	1891,76741294	421,038035201	543,0	75325,0	 
contin	continent	continent|&|continents|&|Continent|&|continous	1	90,3498872594	393,155233644	414,709270937	89,0	12209,0	 
household rural	rural households	rural households|&|rural household	2	61,3719356788	289,752993238	409,598253157	34,0	4976,0	 
ton	tons	tons|&|ton|&|Tons	1	187,649765846	713,614905172	941,516289943	160,0	19904,0	 
farm input	farm inputs	farm inputs|&|farm input|&|inputs on the farm	2	40,9146237858	214,879117421	166,930039507	20,0	3412,0	 
scheme	scheme	scheme|&|schemes|&|Scheme	1	193,60690127	726,482076485	315,13783714	152,0	20270,0	 
ecuador	Ecuador	Ecuador	1	37,7285243501	205,623733435	128,510666717	26,0	3302,0	 
adher	adherence	adherence	1	47,6570833896	241,649873686	132,371025097	38,0	5349,0	 
east middl	Middle East	Middle East	2	56,6510175496	278,463437232	155,692683647	28,0	3573,0	 
busi develop	business development	business development|&|Business Development|&|Business development|&|development business|&|business and development	2	214,014955188	745,938142767	603,958831388	138,0	18537,0	 
option	options	options|&|option|&|Options|&|Option	1	474,585122088	1285,7682232	198,553928365	507,0	67423,0	 
relationship	relationships	relationships|&|relationship|&|Relationship|&|Relationships	1	963,07022683	2069,22199068	364,799247502	883,0	125260,0	 
fossil fuel	fossil fuels	fossil fuels|&|fossil fuel	2	72,3874113134	335,639050315	407,626543434	37,0	4754,0	 
hotel	hotels	hotels|&|hotel|&|Hotel|&|Hotels	1	93,3284549712	426,048935996	285,422261213	68,0	8782,0	 
park	park	park|&|parks|&|Park|&|Parks	1	196,585468982	772,396076912	141,202375861	127,0	17594,0	 
measur result	measure results	measure results|&|measurable results|&|measure the results	2	45,635541915	225,977426031	293,213436632	27,0	3384,0	 
new orlean	New Orleans	New Orleans	2	201,425840176	799,853248193	126,933931246	72,0	9815,0	 
support women	support women	support women|&|supporting women|&|support the women|&|women we support|&|women support|&|support for women|&|women supporting	2	34,6200662803	180,131672946	206,815155508	21,0	2580,0	 
consult	consultation	consultation|&|consultants|&|consultant|&|consultations|&|consultancy|&|Consultants|&|Consultant|&|Consultation|&|CONSULTING|&|Consultancy|&|consultancies|&|Consultations|&|consults	1	496,427951974	1353,64442483	260,032472907	408,0	56000,0	 
nigeria	Nigeria	Nigeria|&|NIGERIA	1	640,392058047	2105,38390091	637,742521683	228,0	26870,0	 
violenc women	violence against women	violence against women|&|violence or women|&|violence that women	3	34,6200662803	183,596568915	213,271208977	19,0	2476,0	 
exposur	exposure	exposure|&|Exposure|&|exposures	1	378,278099405	1144,1412991	248,513138466	338,0	47576,0	 
kind	kind	kind|&|kinds|&|kindness|&|Kindness	1	380,263811212	1103,92424595	162,74935371	370,0	50067,0	 
farm small	small farms	small farms|&|small farm|&|farm small	2	37,7673450331	202,32914149	146,110130518	18,0	2403,0	 
homeless shelter	homeless shelters	homeless shelters|&|homeless shelter	2	39,3409844095	204,695082894	131,515941521	21,0	2556,0	 
novel	novel	novel|&|novels	1	88,3641754515	386,809761716	149,824682173	95,0	12523,0	 
implement project	project implementation	project implementation|&|implementation of the project|&|implementing projects|&|projects implementation|&|implementation of projects|&|implementation of the projects|&|implementation of this project|&|project for implementation|&|projects for implementation|&|implementation of project|&|implementation of some projects	2	110,154756347	450,3941067	202,462847977	64,0	10173,0	 
thinker	thinkers	thinkers	1	35,7428125422	185,21292229	172,29800085	41,0	5763,0	 
youth	youth	youth|&|Youth|&|youths|&|YOUTH|&|YOUTHS|&|Youths	1	4739,89408545	6069,17141232	1415,20991969	2187,0	291637,0	 
groceri	grocery	grocery|&|groceries|&|Grocery	1	45,6713715817	235,337055692	282,923233967	74,0	10094,0	 
bridg	bridge	bridge|&|bridges|&|Bridge|&|Bridges|&|BRIDGE	1	304,806762512	976,250895799	412,820096457	323,0	44415,0	 
architect	architects	architects|&|architect|&|Architects	1	56,5927865251	279,963566781	150,107022592	43,0	5863,0	 
store	store	store|&|stores|&|Store	1	310,763897936	1051,98967553	463,022151793	261,0	34264,0	 
video	video	video|&|videos|&|Video|&|Videos	1	605,642101409	1682,8336413	525,75071023	454,0	62012,0	 
danc	dance	dance|&|Dance|&|dances	1	259,135390931	974,199670898	436,592190283	150,0	21517,0	 
gener incom	income generating	income generating|&|income generation|&|generating income|&|Income Generation|&|Income Generating|&|generation income	2	206,146758306	723,868708659	1070,2154096	182,0	25249,0	 
post survey	post surveys	post surveys|&|post survey	2	34,6200662803	180,131672946	279,978267018	32,0	4752,0	 
comput	computer	computer|&|computers|&|Computer|&|Computers|&|COMPUTER	1	398,135217484	1235,16725174	423,450430105	363,0	48990,0	 
micro-fin	micro-finance	micro-finance|&|Micro-finance	1	31,7713889264	173,156828155	201,296010094	26,0	3526,0	 
bureau labor statist	Bureau of Labor Statistics	Bureau of Labor Statistics	4	55,5999306211	260,365116012	345,061310254	28,0	3913,0	 
packag	package	package|&|packages|&|Package	1	201,549748502	721,202370612	239,822226964	180,0	24892,0	 
murder	murder	murder|&|murders|&|Murder	1	86,3784636436	379,261509858	251,184933523	83,0	11630,0	 
busi owner	business owners	business owners|&|business owner|&|owner of the business|&|owner business	2	169,953052649	661,272675651	261,215925231	96,0	14061,0	 
effect way	effective way	effective way|&|effective ways	2	91,27108383	387,015811865	195,790855952	55,0	7038,0	 
design process	design process	design process|&|design a process	2	48,7828206677	247,307864808	247,996849787	24,0	3258,0	 
thought	thoughts	thoughts|&|thought|&|Thought	1	153,892665112	588,698144725	143,242682273	132,0	18319,0	 
poverti reduc	reducing poverty	reducing poverty|&|poverty reducing	2	45,635541915	225,977426031	149,462366098	27,0	4166,0	 
agricultur sector	agricultural sector	agricultural sector|&|agriculture sector|&|sector agriculture	2	48,7828206677	241,562076102	338,117394287	27,0	3994,0	 
sever year	several years	several years	2	111,728395723	445,231258985	132,14866015	71,0	9220,0	 
self	self	self|&|Self|&|SELF	1	511,320790534	1356,91448781	384,585239139	636,0	87949,0	 
violat	violations	violations|&|violation|&|violators	1	70,4927691804	342,456393494	227,527329152	67,0	10296,0	 
allevi poverti	poverty alleviation	poverty alleviation|&|alleviating poverty|&|Poverty Alleviation|&|alleviation of poverty|&|Alleviation of Poverty	2	163,658495143	609,764391549	480,715888206	97,0	12965,0	 
human resourc	human resources	human resources|&|human resource	2	59,7982963024	282,323429309	170,444161407	34,0	4550,0	 
labour	labour	labour|&|Labour|&|labourers	1	65,5284896606	305,699060174	234,372690078	87,0	13217,0	 
train youth	train youth	train youth|&|train youths|&|trains youth|&|training youth|&|trained youth|&|youth training|&|train the youth|&|youths and train	2	58,224656926	278,423713186	172,817137317	32,0	4777,0	 
build	buildings	buildings|&|BUILDING|&|build	1	150,9140974	616,214034399	186,494115707	115,0	16483,0	 
end year	end of the year	end of the year|&|end of year|&|end of each year|&|year end|&|end of this year|&|end of every year|&|end of a year|&|end year|&|year at the end|&|end the year	4	155,790298261	578,764559957	301,704852229	94,0	13501,0	 
donor	donors	donors|&|donor|&|Donors|&|Donor	1	433,878030026	1357,36725707	582,200754373	288,0	38455,0	 
activ commun	community activities	community activities|&|community activism|&|active community|&|activities community|&|community active|&|community and activism|&|activities in the community	2	47,2091812914	228,795767382	154,848125634	31,0	4037,0	 
cameroon	Cameroon	Cameroon	1	177,721206807	803,038359268	175,026135227	66,0	8957,0	 
gym	gym	gym|&|gyms|&|Gym	1	39,714236158	203,522133132	152,747921734	36,0	4669,0	 
growth rate	growth rate	growth rate|&|rate of growth	2	56,6510175496	267,46430145	303,863890766	41,0	5270,0	 
bold innov	BOLD INNOVATION	BOLD INNOVATION|&|bold innovation|&|Bold innovation|&|bold innovations	2	9954,84269497	-4406,84157679	840,904060954	5979,0	744044,0	 
