stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"	
decarbon	decarbonization	decarbonization|&|Decarbonization	1	13,8999826553	80,8466460316	429,246671587	6	268	x	
decis maker	decision makers	decision makers	2	15,7363937638	77,8996634506	164,886309211	9	577	x	
decis make	decision making	decision making|&|making decisions	2	6,2945575055	36,2643122592	138,758515563	6	386	ww	
decis make process	decision making process	decision making process	3	5,9571354237	37,0639731435	150,272405051	2	121	x	
decis support	decision support	decision support|&|Decision Support|&|support decision|&|DECISION SUPPORT	2	17,3100331402	83,865835778	318,763665981	15	873	x	
decis support system	decision support system	decision support system|&|decision support systems	3	9,9285590395	54,8913358673	186,025116098	5	326	x	
decision-mak process	decision-making processes	decision-making processes|&|decision-making process	2	7,8681968819	43,5746529293	127,794989058	5	271	x	
analysi decomposit	decomposition analysis	decomposition analysis|&|Decomposition Analysis	2	12,589115011	69,7194446869	294,027021016	10	665	x	
degrad	degradation	degradation|&|degradations	1	7,9428472316	43,9130686939	145,357050505	17	1085	x	
delphi method	Delphi method	Delphi method|&|delphi method	2	4,7209181291	30,4705252852	270,277716734	2	40	x	
demateri	dematerialization	dematerialization|&|Dematerialization|&|dematerialize|&|DEMATERIALIZATION |&| dematerialisation|&|Dematerialisation	1	114,178428954	381,97163931	331,556056156	71	3997	x	
demateri indic	dematerialization indicator	dematerialization indicator|&|indicator of the dematerialization	2	4,7209181291	30,4705252852	202,66861403	2	144	x	
deplet	depletion	depletion	1	4,9642795197	29,7788973245	156,087625053	21	1618	x	
deriv indic	derived indicators	derived indicators	2	6,2945575055	38,0751436075	207,161197138	3	204	x	
de	DES	DES|&|DE|&|De|&|des	1	12,9071267513	73,0822432374	178,904372669	7	386	x	
desalin	desalination	desalination|&|Desalination	1	8,9357031355	58,1666013122	204,478800315	3	179	x	
altern design	design alternatives	design alternatives	2	6,2945575055	38,0751436075	226,104998231	3	166	x	
design develop	design and development	design and development|&|design for development	3	9,4418362583	52,2895835152	118,782918931	5	237	x	
decis design	design decisions	design decisions|&|design decision	2	11,0154756347	58,9961554345	183,317732868	6	345	x	
design environ	design for environment	design for environment|&|design for the environment|&|Design for Environment|&|design environment|&|Design for the Environment	3	40,9146237858	165,968902841	303,219237182	22	1338	x	
design improv	design improvements	design improvements	2	7,8681968819	43,5746529293	188,229915702	5	304	x	
design innov	design innovation	design innovation|&|innovation design|&|innovative design	2	4,7209181291	28,5563577056	155,319228835	3	140	x	
design model	Design Model	Design Model|&|model of design|&|models for design|&|design model	2	6,2945575055	38,0751436075	143,080698588	3	140	x	
design phase	design phase	design phase|&|design phases|&|Design Phase	2	12,589115011	65,483557002	231,987563615	7	406	x	
design practic	design practice	design practice|&|design practices	2	6,2945575055	36,2643122592	217,530799349	4	182	x	
design principl	design principles	design principles|&|principles for the design	2	7,8681968819	45,330390324	144,095322484	4	256	x	
design process	design process	design process|&|process design|&|Design process|&|design processes	2	73,9610506898	282,184109873	487,857436368	28	1556	x	
design scienc	design science	design science	2	4,7209181291	30,4705252852	119,273856368	2	97	x	
design stage	design stage	design stage|&|design stages|&|stages of design|&|stage of design	2	20,4573118929	95,3843606036	567,560573378	12	546	x	
design strategi	design strategies	design strategies|&|strategy design|&|design strategy	2	12,589115011	65,483557002	142,314129413	7	412	x	
design tool	design tools	design tools|&|design tool	2	11,0154756347	57,2981123768	133,111285091	7	365	x	
design/methodology/approach	Design/methodology/approach	Design/methodology/approach	1	16,8785503671	80,5926956427	606,956580914	17	1034	x	
deterg	Detergent	Detergent|&|detergents	1	8,9357031355	61,78971715	118,804658388	2	173	x	
develop nation	developed nations	developed nations|&|Nations Development	2	7,8681968819	43,5746529293	197,942127718	5	264	x	
countri develop	developing countries	developing countries|&|developed countries|&|Developing Countries|&|developing country|&|Development countries|&|developed country	2	77,1083294426	279,220898411	374,383128013	36	2114	x	
develop world	developing world	developing world|&|developed world	2	12,589115011	69,7194446869	137,942714777	5	292	x	
develop initi	development initiative	development initiative|&|development initiatives	2	4,7209181291	28,5563577056	140,118747024	5	335	x	
develop model	development model	development model|&|model development|&|development models|&|development of the model|&|DEVELOPMENT MODELS	2	14,1627543874	75,8521998443	134,697141487	6	310	x	
circular develop economi	development of circular economy	development of circular economy	4	5,9571354237	34,648562585	156,765172925	3	149	x	
develop eco-industri park	development of eco-industrial parks	development of eco-industrial parks|&|eco-industrial park development|&|development of this eco-industrial park|&|Development of an eco-industrial park	4	15,8856944632	84,2813471101	173,218482476	5	209	x	
develop tool	development of tools	development of tools|&|developing tools|&|development tool|&|tool development	3	11,0154756347	57,2981123768	129,38977351	7	428	x	
develop path	development path	development path	2	6,2945575055	36,2643122592	161,196646575	4	243	x	
develop phase	development phases	development phases|&|developing phase|&|development phase	2	7,8681968819	43,5746529293	155,510142976	5	270	x	
develop process	development process	development process|&|development processes|&|process development|&|process developments|&|development of processes	2	18,8836725165	89,690196444	292,37500534	18	1089	x	
develop project	development project	development project|&|development projects	2	7,8681968819	43,5746529293	192,518503157	5	266	x	
develop strategi	development strategy	development strategy|&|development strategies|&|strategy development|&|Development Strategy	2	20,4573118929	99,1141695558	269,729301739	13	670	x	
dfd	DfD	DfD|&|DFD	1	5,9571354237	38,7777342081	132,763281408	3	170	x	
dfe	DfE	DfE|&|dfe	1	10,9214149434	59,0941120483	222,141119155	9	624	x	
dfx	DFX	DFX|&|DfX|&|dfx	1	5,9571354237	41,1931447667	163,993287309	2	80	x	
diesel	diesel	diesel	1	7,9428472316	46,1980834466	131,004882721	8	590	x	
countri differ	different countries	different countries|&|Differences between these countries	2	7,8681968819	43,5746529293	186,372151295	5	293	ww	
differ scenario	different scenarios	different scenarios	2	7,8681968819	43,5746529293	169,795291571	5	304	x	
digit duplic	digital duplicator	digital duplicator	2	4,7209181291	30,4705252852	194,83536843	2	101	x	
digit economi	digital economy	digital economy	2	6,2945575055	38,0751436075	117,381288964	3	164	x	
digit ecosystem	digital ecosystem	digital ecosystem|&|Digital Ecosystem	2	7,8681968819	50,7842088087	172,289884132	2	143	x	
deliveri digit music	digital music delivery	digital music delivery	3	5,9571354237	37,0639731435	159,680166909	2	135	x	
direct impact	direct impacts	direct impacts|&|direct impact	2	7,8681968819	43,5746529293	153,02519262	5	292	ww	
direct input materi	direct material input	direct material input|&|DMI	3	25,8142535027	121,783915081	493,115168644	9	558	x	
direct method	direct method	direct method	2	6,2945575055	44,9904218348	216,013412754	1	50	ww	
direct wast	Directive on Waste	Directive on Waste	3	6,2945575055	36,2643122592	212,868473207	4	267	x	
disabl	disability	disability|&|disabilities	1	5,9571354237	35,7346767894	214,581811563	5	231	x	
disaggreg	disaggregation	disaggregation|&|disaggregate	1	5,9571354237	34,648562585	150,513683304	6	292	x	
collabor dispers	dispersed collaboration	dispersed collaboration	2	4,7209181291	28,5563577056	145,43532259	3	150	x	
dissip	dissipative	dissipative|&|dissipation	1	9,9285590395	61,7732885726	120,63358082	4	299	x	
distanc educ	distance education	distance education|&|Distance Education	2	11,0154756347	61,004514101	203,759794595	5	154	x	
distribut team	distributed teams	distributed teams	2	7,8681968819	43,5746529293	196,588502117	5	226	x	
distribut work	distributed work	distributed work	2	6,2945575055	38,0751436075	161,619173281	3	164	x	
domain life	domains of life	domains of life|&|life domains	3	6,2945575055	40,627367047	184,438285163	2	69	x	
consumpt domest materi	domestic material consumption	domestic material consumption	3	7,9428472316	43,9130686939	196,23782191	4	287	x	
domest output process	domestic processed output	domestic processed output	3	5,9571354237	37,0639731435	249,485510754	2	104	x	
domest product	domestic production	domestic production	2	9,4418362583	50,5681332296	171,029613285	6	470	x	
career dual household	dual career households	dual career households	3	5,9571354237	37,0639731435	146,115757224	2	85	x	
dwell	dwellings	dwellings	1	4,9642795197	34,3276206389	127,187885332	2	113	x	
analysi dynam flow materi	dynamic material flow analysis	dynamic material flow analysis|&|Dynamic Material Flow Analysis	4	9,9285590395	57,7476043083	163,230913155	3	227	x	
dynam regim	dynamic regimes	dynamic regimes	2	6,2945575055	44,9904218348	171,288187138	1	49	x	
dynam model	dynamics model	dynamics model|&|dynamic model	2	6,2945575055	38,0751436075	160,799993141	4	239	ww	
e-busi	e-business	e-business	1	5,9571354237	37,0639731435	212,779985017	4	203	x	
e-commerc	e-commerce	e-commerce	1	8,9357031355	51,9728438774	204,302549595	6	288	x	
e-mail	e-mail	E-mail |&|electronic mail	1	9,9285590395	59,5577946491	161,51384585	5	316	x	
e-mail product	e-mail productivity	e-mail productivity	2	4,7209181291	33,7428163761	111,247657707	1	72	x	
e-technolog	e-technology	e-technology|&|e-technologies	1	4,9642795197	37,7685969915	126,331475396	1	40	x	
e-wast	e-waste	e-waste|&|E-waste	1	7,9428472316	47,6462357192	105,460744296	5	335	x	
e-work	e-worker	e-worker|&|e-workers|&|E-Work	1	5,9571354237	38,7777342081	222,425105535	3	66	x	
earth system	earth systems	earth systems|&|Earth systems	2	6,2945575055	40,627367047	162,424386698	2	141	x	
east midland	East Midlands	East Midlands	2	6,2945575055	38,0751436075	109,924787617	3	156	x	
eco-design	eco-design	eco-design|&|Eco-design|&|ECO-DESIGN	1	52,6213629093	228,901647789	403,214398367	27	1420	x	
eco-effect	eco-effectiveness	eco-effectiveness	1	5,9571354237	41,1931447667	147,472224431	2	99	x	
eco-effici	eco-efficiency	eco-efficiency|&|Eco-efficiency|&|eco-efficient|&|eco-efficiencies|&|Eco-Efficiency|&|ECO-EFFICIENCY	1	123,11413209	445,560896578	308,767671802	60	3180	x	
analysi eco-effici	eco-efficiency analysis	eco-efficiency analysis	2	6,2945575055	38,0751436075	119,754811678	3	185	x	
eco-effici evalu	eco-efficiency evaluations	eco-efficiency evaluations|&|Eco-Efficiency Evaluation|&|eco-efficiency evaluation|&|evaluation of eco-efficiency	2	9,4418362583	52,2895835152	240,931574518	5	249	x	
eco-effici improv	eco-efficiency improvement	eco-efficiency improvement|&|IMPROVING ECO-EFFICIENCY|&|improvement of eco-efficiency	2	6,2945575055	36,2643122592	212,67334815	4	176	x	
develop eco-industri	eco-industrial development	eco-industrial development|&|eco-industrial developments	2	25,1782300221	127,605029885	244,181964439	8	395	x	
china develop eco-industri	eco-industrial development in China	eco-industrial development in China	4	7,9428472316	49,418630858	191,46445709	2	118	x	
eco-industri park	eco-industrial parks	eco-industrial parks|&|eco-industrial park|&|Eco-industrial parks|&|Eco-Industrial Parks	2	99,1392807119	371,406881921	402,148122942	30	1478	x	
eco-innov	eco-innovation	eco-innovation|&|eco-innovations|&|Eco-innovation	1	22,8356857908	123,560416101	196,042168978	9	468	x	
ecoaudit	EcoAudit	EcoAudit|&|ecoaudit	1	4,9642795197	37,7685969915	132,019269595	1	51	x	
ecodesign	ecodesign	ecodesign|&|Ecodesign|&|EcoDesign|&|ECODESIGN	1	240,271128756	644,123289792	1167,24670838	151	7623	x	
direct ecodesign	Ecodesign Directive	Ecodesign Directive|&|Directive on the Ecodesign	2	7,8681968819	43,5746529293	149,939876958	5	329	x	
ecodesign method	ecodesign methods	ecodesign methods|&|method of Ecodesign	2	14,1627543874	75,8521998443	257,135769518	6	325	x	
ecodesign practic	ecodesign practices	ecodesign practices|&|ecodesign practice|&|practice ecodesign|&|practices of ecodesign	2	9,4418362583	54,3964683888	191,39017127	4	238	x	
ecodesign strategi	ecodesign strategies	ecodesign strategies|&|ecodesign strategy|&|Ecodesign Strategies	2	17,3100331402	87,7284580462	225,40686185	8	421	x	
ecodesign subject	Ecodesign subject	Ecodesign subject|&|Ecodesign Subject	2	4,7209181291	30,4705252852	211,577061935	2	63	x	
ecodesign tool	ecodesign tools	ecodesign tools|&|ecodesign tool|&|Ecodesign tools|&|tool for Ecodesign	2	26,7518693984	129,610837111	321,061141685	10	554	x	
ecolog econom	ecological economics	ecological economics	2	26,7518693984	120,609575781	197,418074998	14	800	x	
ecolog footprint	ecological footprint	ecological footprint	2	22,0309512693	106,738336445	193,803887722	10	623	x	
ecolog modernis	ecological modernisation	ecological modernisation	2	9,4418362583	57,1127154113	135,260364696	3	187	x	
ecolog modern	ecological modernization	ecological modernization	2	14,1627543874	71,7778293106	178,320244415	8	426	x	
ecolog process	ecological processes	ecological processes	2	7,8681968819	43,5746529293	158,26848651	5	288	x	
ecolog sustain	ecological sustainability	ecological sustainability|&|sustainable ecology	2	7,8681968819	43,5746529293	282,592117058	5	185	x	
ecolog system	ecological systems	ecological systems|&|ecological system|&|systems ecology|&|ecology systems	2	15,7363937638	77,8996634506	145,146690243	9	479	x	
ecolog	ecology	ecology|&|Ecology|&|ECOLOGY|&|ecologies	1	91,3427431633	295,824831691	1092,49105249	476	27414	x	
ecomateri	ecomaterials	ecomaterials	1	4,9642795197	37,7685969915	197,861923766	1	19	x	
activ econom	economic activities	economic activities|&|economic activity	2	31,4727875276	132,282406795	143,588418514	19	1157	x	
area econom	economic areas	economic areas|&|area economic|&|Economic Area|&|economic area	2	7,8681968819	43,5746529293	127,987171406	5	346	x	
benefit econom	economic benefits	economic benefits	2	9,4418362583	50,5681332296	108,316057019	6	337	x	
cost econom	economic cost	economic cost|&|economic costs	2	9,4418362583	52,2895835152	134,877986017	5	247	x	
develop econom	economic development	economic development	2	33,046426904	140,68325561	181,90338783	20	1242	x	
