stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
podzol	podzol	podzol	1	6,94999132764	50,8766478795	160,962736008	2,0	55,0	 
eros	erosion	erosion|&|erosive|&|Erosion	1	17,8714062711	92,579674121	268,265301288	31,0	1701,0	 
manag perform	performance management	performance management|&|management performance	2	7,86819688189	50,7842088087	205,722290535	3,0	139,0	 
immunochromatograph test	immunochromatographic test	immunochromatographic test	2	7,86819688189	46,7649322286	158,834725807	5,0	208,0	 
framework theoret	theoretical framework	theoretical framework	2	14,1627543874	77,5203320494	293,255233194	8,0	290,0	 
hierarchi process	hierarchy process	hierarchy process|&|Hierarchy Process	2	6,29455750551	38,8165356986	157,513169073	12,0	606,0	 
pca	PCA	PCA	1	7,94284723159	49,418630858	167,845566536	6,0	415,0	 
endor	ENDOR	ENDOR	1	6,94999132764	44,5084352394	165,264824041	8,0	377,0	 
ecolog industri principl	industrial ecology principles	industrial ecology principles|&|principles of industrial ecology	3	29,7856771185	137,381667716	452,633599528	15,0	761,0	 
good	goods	goods	1	29,7856771185	140,519902016	243,916699375	52,0	3121,0	 
heavi vehicl	heavy vehicles	heavy vehicles	2	6,29455750551	40,627367047	165,0515452	3,0	211,0	 
pollut water	water pollution	water pollution	2	17,3100331402	89,2346278655	299,512709269	13,0	598,0	 
energi renew sourc	renewable energy sources	renewable energy sources|&|Renewable Energy Sources|&|renewable sources of energy|&|energy from renewable sources	3	27,7999653106	134,426272854	200,257593753	12,0	778,0	 
food	food	food|&|Food|&|foods	1	88,3641754515	335,256297223	201,018154678	122,0	7076,0	 
pollut	pollution	pollution|&|pollutants|&|pollutant|&|Pollution|&|Pollutants|&|POLLUTION	1	158,856944632	493,769088075	542,956958264	320,0	17046,0	 
industri manufactur	manufacturing industry	manufacturing industry|&|manufacturing industries	2	14,1627543874	79,4115043661	185,163826554	7,0	333,0	 
lattic	lattice	lattice	1	7,94284723159	47,1336161053	185,313328678	8,0	438,0	 
framework	framework	framework|&|Framework|&|frameworks|&|FRAMEWORK	1	280,978220818	726,101579373	354,345668714	324,0	17291,0	 
recoveri resourc	resource recovery	resource recovery	2	12,589115011	70,588003881	230,918252327	7,0	112,0	 
compound	compounds	compounds|&|compound|&|Compounds	1	102,264158107	380,737423308	382,335319552	93,0	4737,0	 
capac carri resourc tourism water	tourism water resources carrying capacity	tourism water resources carrying capacity	5	11,9142708474	74,1279462871	210,250691518	3,0	121,0	 
yr	yr	yr	1	21,8428298869	115,886852276	262,161589913	17,0	1155,0	 
environment other problem	other environmental problems	other environmental problems	3	5,95713542369	37,0639731435	158,95687371	3,0	240,0	 
land mine reclam	mine land reclamation	mine land reclamation	3	7,94284723159	49,418630858	253,966844838	3,0	85,0	 
approach consequenti	consequential approach	consequential approach	2	6,29455750551	40,627367047	176,944076706	3,0	149,0	 
industri pollut prevent	industrial pollution prevention	industrial pollution prevention	3	5,95713542369	37,0639731435	163,15985677	3,0	187,0	 
litterfal	litterfall	litterfall	1	6,94999132764	46,0592809858	186,768578138	4,0	209,0	 
network sensor	sensor network	sensor network|&|sensor networks|&|Sensor Networks|&|sensor in the network	2	22,0309512693	115,671118483	539,983721848	22,0	769,0	 
radiat synchrotron	synchrotron radiation	synchrotron radiation	2	6,29455750551	38,8165356986	169,20490607	4,0	232,0	 
assess product	product assessment	product assessment|&|assessment of the product|&|assessment of products|&|products under assessment	2	7,86819688189	48,5206696233	154,77216754	4,0	282,0	 
reactiv	reactive	reactive|&|reactivity|&|reactivation|&|Reactivity|&|REACTIVITY	1	26,8071094066	128,531014864	249,865584718	35,0	1667,0	 
principl	principles	principles|&|principle|&|Principles|&|Principle	1	124,106987994	429,368033382	357,15364849	137,0	7432,0	 
intervent	interventions	interventions|&|intervention|&|Interventions|&|INTERVENTION	1	48,6499392935	208,020703383	194,074559894	48,0	2664,0	 
valuat	valuation	valuation	1	16,8785503671	94,7838968835	182,346933131	20,0	796,0	 
subsystem	subsystems	subsystems|&|subsystem	1	20,8499739829	115,271805321	206,138942337	15,0	824,0	 
biomass microbi	microbial biomass	microbial biomass	2	12,589115011	74,8238915658	222,218458431	5,0	196,0	 
period same	same period	same period	2	11,0154756347	61,7645033959	216,412801875	7,0	441,0	 
environ protect	environment protection	environment protection	2	9,44183625827	54,3964683888	158,698570439	6,0	288,0	 
control traffic	traffic control	traffic control|&|control traffic	2	6,29455750551	38,8165356986	297,03932783	6,0	221,0	 
idea	ideas	ideas|&|idea	1	72,4784809883	284,057136693	202,443213302	67,0	3613,0	 
linkag	linkages	linkages|&|linkage	1	31,7713889264	152,333054654	170,950297938	30,0	1697,0	 
oil	oil	oil|&|Oil|&|oils|&|OIL	1	87,3713195475	335,431604504	198,50652651	135,0	7780,0	 
connect	connection	connection|&|connections|&|connectivity|&|Connectivity|&|Connections|&|connectiveness	1	53,6142188132	223,216886554	174,521517494	49,0	2651,0	 
quantum	quantum	quantum|&|Quantum	1	15,8856944632	85,3773467867	257,023365277	26,0	1236,0	 
energi	energy	energy|&|Energy|&|energies|&|ENERGY	1	400,120929291	875,279416351	1064,41674909	947,0	44768,0	 
thing	Things	Things|&|things	1	5,95713542369	37,0639731435	163,75726743	37,0	1357,0	 
equilibrium network	network equilibrium	network equilibrium|&|Network Equilibrium	2	7,86819688189	48,5206696233	217,680460325	4,0	219,0	 
indoor-air problem	indoor-air problems	indoor-air problems	2	6,29455750551	43,1795904865	243,93990878	2,0	90,0	 
cost reduct	cost reduction	cost reduction|&|cost reductions	2	12,589115011	68,9069618216	278,676107517	8,0	468,0	 
safeti	safety	safety|&|Safety	1	70,4927691804	279,890555748	234,164054169	76,0	3793,0	 
carbon soil	soil carbon	soil carbon	2	11,0154756347	61,7645033959	248,231440703	7,0	445,0	 
factor yield	yield factor	yield factor	2	6,29455750551	43,1795904865	170,152321786	2,0	122,0	 
cycl energi life requir	life cycle energy requirements	life cycle energy requirements	4	5,95713542369	39,4793837021	170,634915563	2,0	130,0	 
research	research	research|&|Research|&|researchers|&|researcher|&|RESEARCH	1	427,920894602	947,607135884	444,128531181	543,0	29654,0	 
e-cultur	e-culture	e-culture	1	4,96427951974	36,3404627711	210,209690681	2,0	44,0	 
health	health	health|&|Health	1	100,278446299	362,916536728	186,312748103	200,0	10604,0	 
limit resourc	limited resources	limited resources|&|limited resource	2	14,1627543874	75,8521998443	160,946701718	9,0	526,0	 
emiss vehicl	vehicle emissions	vehicle emissions|&|vehicle emission	2	28,3255087748	143,555658621	319,819424918	12,0	635,0	 
fiber	fiber	fiber|&|fibers	1	21,8428298869	110,72345241	157,156463032	28,0	1414,0	 
belief	beliefs	beliefs|&|belief|&|Beliefs	1	17,8714062711	91,5581728854	155,806671096	18,0	974,0	 
market power	market power	market power	2	9,44183625827	58,224803548	207,171387833	4,0	221,0	 
flow wast	waste flows	waste flows|&|flow of waste|&|waste flow	2	7,86819688189	50,7842088087	173,543464908	5,0	323,0	 
air emiss	air emissions	air emissions|&|air emission	2	23,6045906457	126,420333074	244,863103609	10,0	656,0	 
asc	ASCE	ASCE	1	5,95713542369	37,0639731435	223,06769352	6,0	353,0	 
energi secur	energy security	energy security|&|energy and security|&|security in the energy	2	15,7363937638	84,2802220493	192,897180663	9,0	458,0	 
toy	toys	toys|&|toy|&|Toy	1	13,8999826553	84,3399122257	166,634093639	9,0	364,0	 
america north	North America	North America	2	23,6045906457	115,991051823	155,15479175	18,0	1148,0	 
develop product sustain	sustainable product development	sustainable product development|&|development of sustainable products|&|products towards a sustainable development	3	13,8999826553	74,7051784383	160,067544665	7,0	250,0	 
activ transport	transport activity	transport activity	2	6,29455750551	40,627367047	173,247579269	3,0	177,0	 
distribut lifespan	lifespan distribution	lifespan distribution	2	7,86819688189	50,7842088087	286,300681301	3,0	93,0	 
convers process	conversion process	conversion process|&|conversion processes	2	6,29455750551	38,8165356986	167,641837607	4,0	223,0	 
distribut spatial	spatial distribution	spatial distribution|&|spatial distributions	2	18,8836725165	99,1466729853	232,000005789	10,0	692,0	 
american	American	American	1	5,95713542369	38,150087348	159,273610134	30,0	1754,0	 
input materi	material input	material input|&|material inputs|&|input materials|&|materials inputs|&|materials input	2	14,1627543874	75,8521998443	331,882650696	11,0	633,0	 
activ research	research activities	research activities	2	6,29455750551	38,8165356986	162,029952666	4,0	231,0	 
catalyst oxid	catalysts for the oxidation	catalysts for the oxidation|&|oxide catalysts|&|catalysts for oxidation	4	7,86819688189	46,7649322286	245,879536899	5,0	237,0	 
feeder servic	feeder service	feeder service	2	6,29455750551	40,627367047	171,700684098	3,0	153,0	 
lifetim	lifetime	lifetime|&|lifetimes|&|Lifetime	1	47,6570833896	212,464296542	167,640784278	53,0	2941,0	 
questionnair	questionnaire	questionnaire|&|questionnaires|&|Questionnaires|&|Questionnaire	1	36,7356684461	167,066524468	193,200508121	37,0	2036,0	 
magnet properti	magnetic properties	magnetic properties	2	11,0154756347	63,4625464536	394,846730409	6,0	210,0	 
requir water	water requirements	water requirements	2	6,29455750551	40,627367047	216,458649837	3,0	136,0	 
creation valu	value creation	value creation	2	9,44183625827	54,3964683888	256,452362759	6,0	246,0	 
chain model	chain model	chain model|&|model the chain|&|Chain Models	2	7,86819688189	48,5206696233	212,595336795	6,0	385,0	 
environment knowledg	environmental knowledge	environmental knowledge	2	6,29455750551	40,627367047	223,399415589	3,0	113,0	 
energi gener	energy generation	energy generation|&|generation of energy	2	9,44183625827	56,1179186744	213,63508511	7,0	396,0	 
feel	feelings	feelings	1	6,94999132764	44,5084352394	167,971838485	5,0	232,0	 
local popul	local populations	local populations|&|local population	2	9,44183625827	54,3964683888	199,209856977	6,0	383,0	 
develop mechan	development mechanism	development mechanism|&|Development Mechanism	2	6,29455750551	38,8165356986	199,204401913	17,0	835,0	 
industri textil	textile industry	textile industry	2	6,29455750551	38,8165356986	177,613360581	4,0	190,0	 
membran	membrane	membrane|&|Membrane|&|membranes	1	48,6499392935	222,794834379	183,518510046	41,0	1724,0	 
lca methodolog	LCA methodology	LCA methodology	2	14,1627543874	77,5203320494	241,614685467	8,0	623,0	 
altern scenario	alternative scenarios	alternative scenarios	2	7,86819688189	46,7649322286	262,898011203	5,0	304,0	 
rail	rail	rail|&|Rail	1	16,8785503671	88,4596146248	202,826506178	24,0	1474,0	 
approach evalu	evaluation approach	evaluation approach|&|evaluation of approaches|&|evaluation approaches	2	9,44183625827	56,1179186744	183,276629722	5,0	300,0	 
ga oil	oil and gas	oil and gas|&|gas and oil|&|oil & gas	3	9,44183625827	54,3964683888	179,126334331	6,0	310,0	 
jet	jet	jet|&|Jet	1	4,96427951974	32,8994864184	164,058978606	4,0	257,0	 
input-output model	input-output model	input-output model|&|input-output models	2	23,6045906457	115,991051823	245,644532869	24,0	836,0	 
contain glass	glass containers	glass containers|&|glasses containing	2	9,44183625827	56,1179186744	166,71391467	5,0	230,0	 
interact	interactions	interactions|&|interaction|&|Interaction|&|interactivity|&|Interactive	1	147,935529688	468,859503341	249,183811737	150,0	7544,0	 
construct	construction	construction|&|Construction|&|constructions|&|CONSTRUCTION	1	133,042691129	438,380780588	235,346415095	158,0	7815,0	 
develop strategi sustain	sustainable development strategy	sustainable development strategy|&|sustainable development strategies|&|Strategies for sustainable development|&|Sustainable Development Strategy|&|strategy for sustainable development|&|strategy of sustainable development|&|strategies toward sustainable development|&|strategies for sustainable development	3	35,7428125422	160,384318503	276,377566317	17,0	756,0	 
promot	promotion	promotion|&|promoters	1	20,8499739829	103,603830702	157,087872363	31,0	1713,0	 
station	stations	stations|&|station|&|Station|&|Stations	1	62,5499219488	277,097303056	220,455124324	56,0	3301,0	 
analysi polici	policy analysis	policy analysis	2	17,3100331402	89,2346278655	233,544963609	13,0	515,0	 
concern develop sustain	sustainable development concerns	sustainable development concerns	3	5,95713542369	39,4793837021	177,647479389	2,0	119,0	 
dfe	DfE	DfE|&|DFE|&|dfe	1	20,8499739829	113,602916949	238,23691613	13,0	526,0	 
behavior human	human behavior	human behavior	2	6,29455750551	40,627367047	198,381398575	3,0	179,0	 
reduct target	reduction targets	reduction targets|&|reductions targets|&|reduction target	2	7,86819688189	46,7649322286	250,482714495	10,0	651,0	 
scienc technolog	Science and Technology	Science and Technology|&|science and technology	3	11,0154756347	63,4625464536	250,327099985	6,0	292,0	 
design develop	design and development	design and development|&|design for development	3	6,29455750551	38,8165356986	165,416892642	4,0	187,0	 
option	options	options|&|option|&|Options|&|OPTIONS	1	134,035547033	456,84235128	244,504140765	154,0	9156,0	 
fossil fuel	fossil fuels	fossil fuels|&|fossil fuel	2	73,9610506898	283,966390107	793,482103532	46,0	2851,0	 
checklist	checklist	checklist|&|checklists	1	8,93570313554	57,225131022	255,804906109	5,0	220,0	 
citi sustain	sustainable cities	sustainable cities|&|sustainable city|&|sustainability in cities|&|sustainability for cities|&|sustainability of cities|&|sustainability cities|&|city sustainable	2	14,1627543874	75,8521998443	309,870618751	10,0	321,0	 
park	parks	parks|&|park|&|Park|&|Parks	1	53,6142188132	239,02233361	269,002669529	99,0	3730,0	 
dopant	dopant	dopant	1	8,93570313554	57,225131022	250,645095923	5,0	208,0	 
copper releas	copper releases	copper releases|&|releases of copper	2	7,86819688189	53,9744881081	204,671150485	2,0	151,0	 
biomass	biomass	biomass|&|Biomass|&|biomasses	1	91,3427431633	349,283922832	198,786624568	92,0	5305,0	 
energi input	energy inputs	energy inputs|&|energy input|&|input energy|&|energy as input	2	23,6045906457	117,740340169	332,476260786	14,0	829,0	 
energi recoveri	energy recovery	energy recovery|&|Energy recovery	2	28,3255087748	139,189262187	215,903523275	15,0	897,0	 
mecn	MeCN	MeCN	1	5,95713542369	43,6085553253	167,570994534	2,0	110,0	 
exposur	exposure	exposure|&|exposures|&|Exposure	1	95,3141667791	364,470180346	275,315164212	78,0	3855,0	 
intens materi	material intensity	material intensity	2	17,3100331402	89,2346278655	254,055357435	14,0	453,0	 
cyclic	cyclic	cyclic|&|Cyclic|&|Cyclicity	1	8,93570313554	53,0253181185	195,244173331	19,0	980,0	 
memori organiz	organizational memory	organizational memory	2	7,86819688189	53,9744881081	228,383098774	2,0	51,0	 
approach bottom-up	bottom-up approach	bottom-up approach|&|bottom-up approaches	2	6,29455750551	40,627367047	176,387359463	3,0	206,0	 
reus	reuse	reuse	1	11,9142708474	68,0418314497	161,371896429	10,0	594,0	 
mechan pulp	mechanical pulps	mechanical pulps|&|mechanical pulp	2	7,86819688189	50,7842088087	172,420817311	3,0	97,0	 
industri miner	minerals industry	minerals industry	2	7,86819688189	48,5206696233	205,887407914	4,0	176,0	 
develop system	system development	system development|&|development system|&|development of the system|&|Development System|&|system about the development	2	12,589115011	70,588003881	172,757650423	9,0	517,0	 
polici transport	transport policies	transport policies|&|transportation policies|&|transport policy	2	28,3255087748	148,720009478	288,37384034	11,0	621,0	 
combust fossil fuel	combustion of fossil fuels	combustion of fossil fuels	4	5,95713542369	37,0639731435	221,294624716	3,0	145,0	 
desalin	desalination	desalination|&|Desalination	1	13,8999826553	79,3821366914	215,414012927	16,0	650,0	 
citi daqe	Daqing City	Daqing City	2	6,29455750551	43,1795904865	169,350120361	2,0	128,0	 
comput	computer	computer|&|computers|&|Computer|&|computation|&|Computers|&|computable|&|Computation|&|computations|&|compute	1	120,135564378	413,125341525	402,649833262	134,0	5957,0	 
atmospher	atmosphere	atmosphere|&|Atmospheric|&|Atmosphere|&|atmospheres	1	72,4784809883	281,680580143	383,398136728	72,0	4152,0	 
air amount indoor pollut total	total amounts of indoor air pollutants	total amounts of indoor air pollutants	6	13,8999826553	92,1185619716	190,286193083	2,0	130,0	 
function product	production function	production function|&|product function	2	17,3100331402	90,8844502365	341,620304248	10,0	421,0	 
chang climat effect	effects of climate change	effects of climate change|&|climate change effects	4	5,95713542369	37,0639731435	256,662473651	3,0	190,0	 
co2 emiss net	net CO2 emissions	net CO2 emissions|&|net emission of CO2|&|net CO2 emission	3	13,8999826553	79,3821366914	259,006123949	5,0	285,0	 
ict infrastructur	ICT infrastructure	ICT infrastructure|&|ICT infrastructures	2	15,7363937638	82,6222274877	417,025043357	10,0	493,0	 
design process	design process	design process|&|process design|&|Design process|&|design processes	2	73,9610506898	302,296613188	400,173086773	32,0	1839,0	 
inciner wast	waste incineration	waste incineration|&|waste incinerators|&|incineration of the waste|&|incineration of waste	2	7,86819688189	46,7649322286	170,151766186	8,0	531,0	 
manag strategi	management strategies	management strategies	2	26,7518693984	133,439052191	239,685321931	18,0	1217,0	 
agricultur research	agricultural research	agricultural research	2	6,29455750551	43,1795904865	177,589189657	2,0	45,0	 
acid	acid	acid|&|acids|&|acidic|&|acidity|&|Acids|&|Acidic	1	46,6642274856	198,432029945	201,87486872	103,0	5069,0	 
concern sustain	sustainability concerns	sustainability concerns	2	6,29455750551	38,8165356986	238,15661167	4,0	216,0	 
metabol	metabolism	metabolism|&|Metabolism	1	38,721380254	174,905626316	393,61984965	78,0	3251,0	 
equival	equivalent	equivalent|&|equivalents|&|Equivalent|&|equivalence	1	56,5927865251	233,259450685	299,033181856	80,0	5216,0	 
excit state	excited states	excited states|&|excited state	2	14,1627543874	79,4115043661	221,006263671	7,0	332,0	 
labour	labour	labour	1	6,94999132764	44,5084352394	165,221585396	11,0	603,0	 
air qualiti	air quality	air quality|&|Air Quality|&|Air quality	2	135,332986369	439,684890809	2360,3155441	119,0	5867,0	 
model refer	reference model	reference model|&|reference models	2	9,44183625827	56,1179186744	232,171428344	5,0	255,0	 
donor	donor	donor|&|donors	1	12,9071267513	73,7119840706	421,070547418	16,0	814,0	 
donor-acceptor	donor-acceptor	donor-acceptor	1	4,96427951974	31,7917394567	155,711064443	5,0	194,0	 
growth rate	growth rate	growth rate|&|growth rates|&|Growth Rate|&|rate of growth	2	33,046426904	154,082428667	232,735034949	18,0	1064,0	 
consumpt domest materi	domestic material consumption	domestic material consumption	3	7,94284723159	47,1336161053	202,810872776	4,0	264,0	 
impact total	total impact	total impact	2	9,44183625827	54,3964683888	188,115285545	6,0	446,0	 
index	index	index|&|Index|&|indexes	1	58,578498333	237,963058077	156,745658046	102,0	5051,0	 
develop indic	indicator development	indicator development|&|development indicators|&|development of indicators|&|indicators of development|&|indicators for the development	2	14,1627543874	79,4115043661	276,145357544	10,0	532,0	 
mixtur	mixture	mixture|&|mixtures|&|Mixture	1	44,6785156777	204,60750096	187,587817402	32,0	1931,0	 
surfac water	surface water	surface water|&|surface waters|&|water surface	2	37,7673450331	166,836579743	563,357445724	25,0	1517,0	 
framework propos	proposed framework	proposed framework	2	12,589115011	72,5286245184	230,309791785	6,0	336,0	 
electr futur gener	future electricity generation	future electricity generation|&|future electricity generating	3	5,95713542369	39,4793837021	194,551965124	2,0	131,0	 
plan	plan	plan|&|plans|&|Plan|&|Plans|&|PLANNING|&|PLAN	1	97,299878587	355,808966948	232,217746277	107,0	5948,0	 
charg	charge	charge|&|charges|&|Charge	1	30,7785330224	148,829087802	264,836514066	71,0	3174,0	 
carbonac	carbonaceous	carbonaceous	1	4,96427951974	34,3276206389	184,371382859	3,0	162,0	 
point view	point of view	point of view|&|view point	3	15,7363937638	84,2802220493	249,944921337	9,0	481,0	 
kg	kg	kg	1	58,578498333	251,885506541	283,786739079	58,0	3954,0	 
data field	field data	field data	2	6,29455750551	38,8165356986	165,29400106	4,0	249,0	 
nh4	NH4	NH4	1	9,92855903949	58,9170201316	157,151931158	8,0	632,0	 
analysi emergi	emergy analysis	emergy analysis	2	6,29455750551	40,627367047	203,42508492	3,0	201,0	 
ecosystem servic	ecosystem services	ecosystem services	2	23,6045906457	119,629715518	499,154068025	15,0	712,0	 
direct gasolin inject	gasoline direct injection	gasoline direct injection	3	5,95713542369	39,4793837021	173,382080097	2,0	102,0	 
h2o	H2O	H2O	1	22,8356857908	119,680655081	292,316216223	17,0	927,0	 
bond hydrogen	hydrogen bonds	hydrogen bonds|&|hydrogen bonding	2	6,29455750551	40,627367047	247,720141655	6,0	268,0	 
sector	sector	sector|&|sectors|&|Sector	1	186,656909942	566,840369084	334,150975432	277,0	16483,0	 
taxi	taxi	taxi|&|taxis|&|TAXIS	1	16,8785503671	98,170927324	189,209155235	9,0	466,0	 
location-bas servic	location-based services	location-based services	2	6,29455750551	43,1795904865	282,109972188	2,0	54,0	 
humid	humidity	humidity|&|Humidity	1	4,96427951974	31,7917394567	230,370116612	8,0	487,0	 
cost transact	transaction costs	transaction costs	2	7,86819688189	48,5206696233	197,041426901	4,0	189,0	 
flow traffic	traffic flow	traffic flow|&|traffic flows	2	14,1627543874	79,4115043661	173,389184891	9,0	475,0	 
cdm	CDM	CDM|&|cdm	1	16,8785503671	94,7838968835	228,925692323	14,0	700,0	 
global impact warm	global warming impact	global warming impact|&|global warming impacts	3	5,95713542369	37,0639731435	164,813624543	3,0	217,0	 
adsorb	adsorbent	adsorbent|&|adsorb	1	5,95713542369	37,0639731435	163,036698607	7,0	381,0	 
capac gener	generation capacity	generation capacity|&|generation and capacity	2	11,0154756347	65,4709051201	277,149470883	5,0	281,0	 
element finit method	finite element method	finite element method|&|finite elements method	3	9,92855903949	56,7015262081	171,981953513	5,0	221,0	 
control measur	control measures	control measures	2	6,29455750551	38,8165356986	191,110919117	4,0	189,0	 
field ligand	ligand field	ligand field	2	7,86819688189	50,7842088087	290,437707758	3,0	174,0	 
band gap	band gap	band gap|&|band gaps	2	7,86819688189	50,7842088087	165,167565104	3,0	166,0	 
freight	freight	freight	1	8,93570313554	54,2185150022	167,860670186	13,0	554,0	 
multicriteria	multicriteria	multicriteria|&|Multicriteria	1	8,93570313554	54,2185150022	218,523318442	13,0	496,0	 
uniform	uniform	uniform	1	12,9071267513	72,4818034991	160,706123027	12,0	573,0	 
fine	fines	fines	1	4,96427951974	36,3404627711	187,915609332	3,0	90,0	 
light traffic	traffic light	traffic light|&|traffic lights	2	7,86819688189	48,5206696233	167,704400947	4,0	105,0	 
region scale	regional scale	regional scale|&|regional scales	2	17,3100331402	90,8844502365	266,194267552	10,0	624,0	 
penalti	penalty	penalty|&|penalties	1	7,94284723159	49,418630858	159,883354956	7,0	397,0	 
cell	cell	cell|&|cells|&|Cell	1	62,5499219488	263,139691338	191,292705348	69,0	3363,0	 
market product	market products	market products|&|market product|&|product market	2	6,29455750551	38,8165356986	263,264043028	4,0	180,0	 
seri time	time series	time series	2	20,4573118929	105,459105659	183,003274723	11,0	617,0	 
innov process	innovation process	innovation process|&|process innovation|&|innovation processes	2	15,7363937638	82,6222274877	288,477899841	10,0	649,0	 
distribut system	distribution system	distribution system|&|distribution systems|&|distributed systems	2	14,1627543874	77,5203320494	158,12023815	8,0	436,0	 
solut	solutions	solutions|&|solution|&|Solutions|&|Solution|&|SOLUTION	1	226,3711461	633,52263975	225,348213254	249,0	14267,0	 
factor	factors	factors|&|factor|&|Factors|&|Factor	1	277,006797202	729,536167923	155,192528875	363,0	20019,0	 
iea	IEA	IEA	1	5,95713542369	43,6085553253	199,383068154	2,0	152,0	 
instrument polici wast	waste policy instruments	waste policy instruments	3	5,95713542369	39,4793837021	183,304329627	2,0	50,0	 
manag system	management system	management system|&|management systems|&|Management System|&|Management systems|&|systems management	2	48,7828206677	204,189312266	298,0048265	55,0	3329,0	 
higher temperatur	higher temperatures	higher temperatures|&|higher temperature	2	7,86819688189	46,7649322286	235,041304869	5,0	263,0	 
manag practic	management practices	management practices|&|management practice|&|MANAGEMENT PRACTICES	2	17,3100331402	90,8844502365	238,705929952	16,0	1027,0	 
transport urban	urban transport	urban transport|&|urban transportation	2	12,589115011	68,9069618216	227,153287114	8,0	244,0	 
land structur	land structure	land structure	2	6,29455750551	40,627367047	218,400986428	3,0	145,0	 
induct motor three-phas	three-phase induction motors	three-phase induction motors	3	5,95713542369	39,4793837021	235,773051292	2,0	141,0	 
ip	IP	IP	1	9,92855903949	61,7732885726	206,155400207	9,0	471,0	 
environ outdoor thermal	outdoor thermal environment	outdoor thermal environment	3	5,95713542369	39,4793837021	208,779487155	2,0	83,0	 
hio	HIO	HIO	1	5,95713542369	47,7377269484	182,076238359	1,0	45,0	 
end-of-lif	end-of-life	end-of-life|&|End-of-Life	1	33,7571007343	154,592334059	351,991268673	56,0	3328,0	 
autom home system	home automation system	home automation system|&|Home Automation System	3	13,8999826553	76,8478702142	160,818149653	6,0	313,0	 
flow model	flow model	flow model|&|flow models	2	11,0154756347	63,4625464536	162,445741892	9,0	454,0	 
singapor	Singapore	Singapore|&|singapore	1	12,9071267513	82,6585225874	176,466321495	5,0	163,0	 
electr system	electricity system	electricity system|&|electric system	2	7,86819688189	48,5206696233	223,208884115	6,0	341,0	 
function hand parkinson peopl	hand function in people with Parkinson	hand function in people with Parkinson|&|hand function for people with Parkinson	6	7,94284723159	52,6391782695	195,77709724	2,0	80,0	 
cost cycl life	life cycle cost	life cycle cost|&|life cycle costs|&|costs over the life cycle	3	17,8714062711	91,5581728854	272,15944513	9,0	409,0	 
river	river	river|&|River|&|rivers|&|RIVER|&|Rivers	1	67,5142014685	274,262507614	202,683910178	88,0	4089,0	 
increas rapid	rapid increase	rapid increase	2	11,0154756347	61,7645033959	169,882751903	7,0	457,0	 
respir	respiration	respiration|&|respirable	1	15,8856944632	86,5546033896	345,205618	24,0	1281,0	 
fluoresc	fluorescence	fluorescence|&|Fluorescence	1	26,8071094066	134,512848458	255,201402081	35,0	1516,0	 
art	art	art|&|arts	1	12,9071267513	72,4818034991	184,364023032	18,0	1002,0	 
inform sector	informal sector	informal sector	2	6,29455750551	38,8165356986	265,473448885	4,0	216,0	 
car privat	private car	private car|&|private cars	2	11,0154756347	71,0978923322	169,378809883	3,0	174,0	 
proactiv	proactive	proactive|&|proactivity	1	14,8928385592	79,0137629157	177,020522076	17,0	875,0	 
health promot	health promotion	health promotion	2	12,589115011	70,588003881	304,685509692	7,0	205,0	 
deliveri good	goods delivery	goods delivery	2	6,29455750551	40,627367047	193,156405727	3,0	147,0	 
challeng futur	Future challenges	Future challenges|&|future challenge|&|future challenges	2	9,44183625827	54,3964683888	199,520871167	6,0	298,0	 
analysi inher risk	inherency risk analysis	inherency risk analysis	3	5,95713542369	37,0639731435	191,772615049	3,0	146,0	 
further research	further research	further research	2	31,4727875276	143,429181036	193,789452956	20,0	1137,0	 
sem	SEM	SEM	1	11,9142708474	69,2971251699	238,091060724	9,0	507,0	 
pm1	PM1	PM1	1	15,8856944632	98,8372617161	182,942818587	6,0	332,0	 
cost extern	external costs	external costs	2	31,4727875276	162,244777937	190,505546259	11,0	547,0	 
amoeba approach	AMOEBA approach	AMOEBA approach	2	6,29455750551	43,1795904865	221,752565223	2,0	117,0	 
energi intens	energy intensity	energy intensity|&|energy intensities|&|energy intensive	2	33,046426904	154,082428667	235,011976407	21,0	996,0	 
data remot sens	remote sensing data	remote sensing data	3	13,8999826553	86,4826040016	158,908965209	3,0	180,0	 
cost fuel	fuel costs	fuel costs|&|fuel cost|&|cost of fuel	2	12,589115011	72,5286245184	184,508124681	6,0	414,0	 
consumpt energi	energy consumption	energy consumption|&|Energy consumption|&|Energy Consumption|&|energy consumptions|&|consumption energy	2	226,604070199	632,407233256	1314,84059232	152,0	8292,0	 
user	users	users|&|user|&|User	1	162,828368248	519,952621435	310,989024116	147,0	8340,0	 
particip	participation	participation|&|participants|&|participant|&|Participants	1	85,3856077396	326,50453656	267,615814307	76,0	4012,0	 
buse non-air-condit	non-air-conditioned buses	non-air-conditioned buses	2	7,86819688189	53,9744881081	164,191654332	2,0	109,0	 
debat	debate	debate|&|debates	1	40,7070920619	183,875145614	172,587773398	35,0	2028,0	 
assess environment	environmental assessment	environmental assessment|&|Environmental Assessment|&|Environmental assessment	2	59,7982963024	244,410027684	245,947536649	43,0	2063,0	 
